50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f2207d37-beed-4073-84a5-f9d696e2afdd,1,,,3930158,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 12407, 'name': 'Maximilian Mittelstädt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,43e494fe-4871-4b2a-a509-a325c17a5e3f,2,,,3930158,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Starting XI,,343.0,"[{'player': {'id': 22379, 'name': 'Angus Gunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18797, 'name': 'Ryan Porteous'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 11116, 'name': 'Jack Hendry'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 13}, {'player': {'id': 10540, 'name': 'Kieran Tierney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 22308, 'name': 'Anthony Ralston'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3655, 'name': 'Andrew Robertson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 3620, 'name': 'Scott McTominay'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10534, 'name': 'Callum McGregor'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9974, 'name': 'John McGinn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 12510, 'name': 'Ryan Christie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 9466, 'name': 'Che Adams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d9de8fe7-3122-4067-a1c2-a742c7edb2b8,3,,,3930158,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['455f819f-3926-4ed4-a0e9-4e9e4d0bf95a'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,455f819f-3926-4ed4-a0e9-4e9e4d0bf95a,4,,,3930158,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['d9de8fe7-3122-4067-a1c2-a742c7edb2b8'],0,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,922b4395-37e9-4750-ae19-aa1ddbbd94fd,1727,,,3930158,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,66,Scotland,942,['dccb5fda-54f1-4041-84b3-f060f95b4c4b'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dccb5fda-54f1-4041-84b3-f060f95b4c4b,1728,,,3930158,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,66,Scotland,942,['922b4395-37e9-4750-ae19-aa1ddbbd94fd'],0,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,1.234945,,,,,,,,,,,,,,df6f6fb7-f0b0-4561-9171-f4172f5e97e7,5,,"[61.0, 40.1]",3930158,0,,,,,-2.4475427,,Left Foot,,,,"[46.7, 28.2]",,Ground Pass,,18.603764,,,Maximilian Mittelstädt,12407.0,,,,,Kick Off,1,From Kick Off,Kai Havertz,8966.0,Center Forward,2,Germany,770,['f9195e75-1617-478c-bf9d-66f17151724a'],1,,,,,,,,,,,,,,,,Germany,770,00:00:01.191,Pass,,,,,,,61.0,40.1,46.7,28.2,,,,,,46.7,28.2,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,3.232172,,,,,,,,,,,,,,01be895c-5835-4a8d-b99f-2a642f5d26dc,8,,"[50.3, 18.2]",3930158,0,,,,,0.4777754,,Left Foot,,,,"[100.9, 44.4]",,High Pass,,56.980698,,,Kai Havertz,8966.0,,,,,,1,From Kick Off,Maximilian Mittelstädt,12407.0,Left Back,2,Germany,770,['9aa6c033-3015-4e13-9566-bd1913f754d3'],4,,,,,,,,,,,,,,,,Germany,770,00:00:04.165,Pass,,,,,,,50.3,18.2,100.9,44.4,,,,,,100.9,44.4,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.473634,,,,,,,,,,,,,,859a97e2-e05a-42c3-a020-32a8d7848300,11,,"[100.9, 44.4]",3930158,0,,,,True,-2.863293,,,,,,"[98.8, 43.8]",,Low Pass,,2.184033,Incomplete,,,,,,,,,1,From Kick Off,Kai Havertz,8966.0,Center Forward,2,Germany,770,"['1b105dba-9074-4a8d-b6cd-ab686d59d32e', 'd565ae37-8197-4510-b01f-171a04435ec1']",7,,,,,,,,,,,,,,,,Germany,770,00:00:07.397,Pass,True,,,,,,100.9,44.4,98.8,43.8,,,,,,98.8,43.8,Germany vs Scotland,Germany,Scotland
,,,,,,,,,,,,,,,,0.020259,,,,,,,,,,,,,,4484cb90-4998-48cd-a0be-472c4be2a2a2,17,,"[18.7, 29.6]",3930158,0,,,,,-0.21866895,,Right Foot,,,,"[20.5, 29.2]",,Low Pass,,1.8439089,Incomplete,,,,,,,,,1,From Kick Off,Jack Hendry,11116.0,Center Back,2,Germany,770,"['7040ea80-1599-41ef-9593-0aa783085750', '8226f5a6-a6ef-49cf-b3a7-24146fe8a028', 'ce958de1-f077-4032-9604-3ed4b57cea3b']",9,,,,,,,,,,,,,,,,Scotland,942,00:00:09.544,Pass,True,,,,,,18.7,29.6,20.5,29.2,,,,,,20.5,29.2,Germany vs Scotland,Germany,Scotland
