50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52cf17c5-868a-44c7-9801-8cbad514bd98,1,,,3930159,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,,0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 8524, 'name': 'Péter Gulácsi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3153, 'name': 'Ádám Lang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8509, 'name': 'Willi Orban'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 46376, 'name': 'Attila Szalai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 5}, {'player': {'id': 89635, 'name': 'Milos Kerkez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 7162, 'name': 'Ádám Nagy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 42822, 'name': 'András Schäfer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 19316, 'name': 'Roland Sallai'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 21209, 'name': 'Dominik Szoboszlai'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 12921, 'name': 'Barnabás Varga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]",,,,,,,,,,,,,,,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ea00776-3726-42e2-aa4a-ab015a12ad0c,2,,,3930159,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,,0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 16016, 'name': 'Michel Aebischer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 45190, 'name': 'Dan Ndoye'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 49007, 'name': 'Kwadwo Duah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]",,,,,,,,,,,,,,,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,197b44b9-aca6-4b16-ae23-fa4ad331e378,3,,,3930159,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,['ece898fb-7698-461f-bda1-81726fc1ff76'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ece898fb-7698-461f-bda1-81726fc1ff76,4,,,3930159,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hungary,916,['197b44b9-aca6-4b16-ae23-fa4ad331e378'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82a4dece-2386-4aa4-b3b8-5400306ee9df,1657,,,3930159,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,75,Switzerland,773,['4084934c-0638-44d7-bceb-3f7a77a27877'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4084934c-0638-44d7-bceb-3f7a77a27877,1658,,,3930159,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,75,Switzerland,773,['82a4dece-2386-4aa4-b3b8-5400306ee9df'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,1.685987,,,,,,,,,,,,,ea6e1f6e-a906-43b6-a12d-bdf03af0768a,5,,"[60.0, 40.0]",3930159,0,,,,,-2.608949,,Right Foot,,,,"[41.0, 28.8]",,Ground Pass,,22.055386,,,,Dominik Szoboszlai,21209.0,,,,,Kick Off,1,From Kick Off,Ádám Nagy,7162.0,Right Defensive Midfield,2,Hungary,916,['f4c1c70f-d620-4abe-adbe-bbfdbbb9edc6'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.310,Pass,,,,,,,60.0,40.0,41.0,28.8,,,,,,41.0,28.8,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,1.098274,,,,,,,,,,,,,3223ac17-f8ac-421e-ae6e-9f25d0f8c798,8,,"[42.0, 26.7]",3930159,0,,,,,-1.3199146,,Right Foot,,,,"[47.1, 6.8]",,Ground Pass,,20.543125,,,,Attila Szalai,46376.0,,,,,,1,From Kick Off,Dominik Szoboszlai,21209.0,Left Attacking Midfield,2,Hungary,916,['1ab4d040-691e-4288-9e47-ecda00969a8c'],2,,,,,,,,,,,,,,,,,Hungary,916,00:00:02.763,Pass,,,,,,,42.0,26.7,47.1,6.8,,,,,,47.1,6.8,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,2.498232,,,,,,,,,,,,,c56cdecc-e240-4512-b966-4adbb4033825,11,,"[49.2, 5.8]",3930159,0,,,,,1.0562807,,Left Foot,,,,"[78.2, 57.1]",,High Pass,,58.929535,,,,Roland Sallai,19316.0,,True,,,,1,From Kick Off,Attila Szalai,46376.0,Left Center Back,2,Hungary,916,['c3ae8ae8-eb01-46d3-9763-c0029a29bfdb'],5,,,,,,,,,,,,,,,,,Hungary,916,00:00:05.140,Pass,,,,,,,49.2,5.8,78.2,57.1,,,,,,78.2,57.1,Hungary vs Switzerland,Hungary,Switzerland
,,,,,,,,,,,,,,,,,,3.3847,,,,,,,,,,,,,157a9c42-fb4d-4434-9e18-62c4beb002b9,13,,"[78.2, 57.1]",3930159,0,,,,,1.1000314,,Head,,,,"[89.6, 79.5]",,High Pass,,25.13404,,Out,,,,,,,,,1,From Kick Off,Roland Sallai,19316.0,Right Attacking Midfield,2,Hungary,916,,7,,,,,,,,,,,,,,,,,Hungary,916,00:00:07.638,Pass,,,,,,,78.2,57.1,89.6,79.5,,,,,,89.6,79.5,Hungary vs Switzerland,Hungary,Switzerland
