50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2fe4c4c7-dc31-437d-823c-9019f9a302ba,1,,,,3930162,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,,0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Starting XI,,442.0,"[{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 137487, 'name': 'Žan Karničnik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 205932, 'name': 'Vanja Drkušić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 16047, 'name': 'Jaka Bijol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 28211, 'name': 'Erik Janža'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 31968, 'name': 'Adam Gnezda Čerin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 15896, 'name': 'Timi Elšnik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16528, 'name': 'Petar Stojanović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 31089, 'name': 'Jan Mlakar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 31866, 'name': 'Andraž Šporar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 38759, 'name': 'Benjamin Šeško'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]",,,,,,,,,,,,,,,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2496f887-5f37-4be2-84b8-a09265ad2b9f,2,,,,3930162,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,,0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Starting XI,,3412.0,"[{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8247, 'name': 'Joachim Andersen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24547, 'name': 'Alexander Hartmann Bah'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 60343, 'name': 'Victor Bernth Kristansen'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 8621, 'name': 'Morten Hjulmand'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 21261, 'name': 'Jonas Older Wind'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 51672, 'name': 'Rasmus Winther Højlund'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c9abd287-b42a-4458-ab5e-6f8b6bcdb03e,3,,,,3930162,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,['70848c06-7a93-46e4-8c3e-6768c2d2374a'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,70848c06-7a93-46e4-8c3e-6768c2d2374a,4,,,,3930162,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,['c9abd287-b42a-4458-ab5e-6f8b6bcdb03e'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2bbcf1b7-d4d8-423b-a5a1-5a1c75a23da3,1933,,,,3930162,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,63,Denmark,776,['7c6f198a-48e8-492b-922d-78eb0a299fb2'],0,,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c6f198a-48e8-492b-922d-78eb0a299fb2,1934,,,,3930162,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,63,Denmark,776,['2bbcf1b7-d4d8-423b-a5a1-5a1c75a23da3'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,1.447153,,,,,,,,,,,,,c6aeb052-78a4-48d9-9f97-7b0dea949abb,5,,,"[60.0, 40.0]",3930162,0,,,,,-3.0847435,,Right Foot,,,"[35.4, 38.6]",,Ground Pass,,24.639805,,,,Vanja Drkušić,205932.0,,,,,,Kick Off,1,From Kick Off,Andraž Šporar,31866.0,Right Center Forward,2,Slovenia,944,['c93f132e-801f-4df5-bdb7-2fd9b6766ad3'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.697,Pass,,,,,,,60.0,40.0,35.4,38.6,,,,,,35.4,38.6,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,2.438782,,,,,,,,,,,,,06b04725-8a02-4684-bfe1-56472fc39680,8,,,"[35.1, 38.9]",3930162,0,,,,,-0.54436004,,Right Foot,,,"[83.5, 9.6]",,High Pass,,56.577824,,,,Jan Mlakar,31089.0,,,,,,,1,From Kick Off,Vanja Drkušić,205932.0,Right Center Back,2,Slovenia,944,['6f9a6387-43d7-4031-998c-4fea539046f2'],3,,,,,,,,,,,,,,,,,Slovenia,944,00:00:03.621,Pass,,,,,,,35.1,38.9,83.5,9.6,,,,,,83.5,9.6,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,2.992644,,,,,,,,,,,,,23845a18-f1f3-4df7-a307-03b1bbc12a56,10,,,"[83.9, 10.0]",3930162,0,,,,,0.8163161,,Head,,,"[107.4, 35.0]",,Low Pass,,34.311077,,Incomplete,,Andraž Šporar,31866.0,,,,,,,1,From Kick Off,Jan Mlakar,31089.0,Left Midfield,2,Slovenia,944,"['3daee3a0-42d1-42c3-b96e-2b04c727d880', '5a0324b1-5077-412e-9ef3-b6fd489a0da5']",6,,,,,,,,,,,,,,,,,Slovenia,944,00:00:06.060,Pass,,,,,,,83.9,10.0,107.4,35.0,,,,,,107.4,35.0,Slovenia vs Denmark,Slovenia,Denmark
,,,,,,,,,,,,,,,,,1.906607,,,,,,,,,,,,,c2902729-52f8-4aaf-ae80-93da1ab133a6,14,,,"[13.1, 45.3]",3930162,0,,,,,-1.4607168,,Keeper Arm,,,"[15.2, 26.3]",,Ground Pass,,19.1157,,,,Jannik Vestergaard,8815.0,,,,,,,1,Regular Play,Kasper Schmeichel,3815.0,Goalkeeper,3,Denmark,776,['0146e108-1579-4aab-8966-3f5e7af9c201'],15,,,,,,,,,,,,,,,,,Denmark,776,00:00:15.107,Pass,,,,,,,13.1,45.3,15.2,26.3,,,,,,15.2,26.3,Slovenia vs Denmark,Slovenia,Denmark
