50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,410b04fb-0501-4770-b4ea-b2760552bdb7,1,,,,3930166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Starting XI,,3412.0,"[{'player': {'id': 32975, 'name': 'Diogo Meireles Costa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 16028, 'name': 'José Diogo Dalot Teixeira'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 5}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 18360, 'name': 'Rafael Alexandre Conceição Leão'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]",,,,,,,,,,,,,,,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,07d9963c-3d0b-4941-b302-13ef3efcc4e8,2,,,,3930166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 28040, 'name': 'Jindřich Staněk'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 81330, 'name': 'Robin Hranáč'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 28272, 'name': 'Ladislav Krejčí'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 5}, {'player': {'id': 35441, 'name': 'David Doudera'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 28034, 'name': 'Lukáš Provod'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 28227, 'name': 'Pavel Šulc'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 29484, 'name': 'Jan Kuchta'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]",,,,,,,,,,,,,,,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a9094b0-5155-4c93-966f-94359e3522bf,3,,,,3930166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['20339616-d7b6-4f01-a264-ea42836292e9'],0,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20339616-d7b6-4f01-a264-ea42836292e9,4,,,,3930166,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['6a9094b0-5155-4c93-966f-94359e3522bf'],0,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d585b33-2364-475c-a62b-d09d49b8b23d,1981,,,,3930166,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,72,Czech Republic,912,['efc91b35-4f20-4b73-b6b5-e2ab29b4f6f9'],0,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,efc91b35-4f20-4b73-b6b5-e2ab29b4f6f9,1982,,,,3930166,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,72,Czech Republic,912,['5d585b33-2364-475c-a62b-d09d49b8b23d'],0,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,1.536085,,,,,,,,,,,,,2eb56142-75a8-4216-9350-d7ca08365e24,5,,,"[61.0, 40.1]",3930166,0,,,,-2.7509856,,Right Foot,,,"[38.9, 31.0]",,Ground Pass,,23.90021,,,,,Nuno Mendes,41092.0,,,,,,Kick Off,1,From Kick Off,Bruno Miguel Borges Fernandes,5204.0,Left Defensive Midfield,2,Portugal,780,['d7079215-fde6-4429-91ba-335dfc64b9c0'],0,,,,,,,,,,,,,,,Portugal,780,00:00:00.900,Pass,,,,,,,61.0,40.1,38.9,31.0,,,,,,38.9,31.0,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,2.382721,,,,,,,,,,,,,afa24b1f-fd38-49ad-92fb-1fcd9bc773e0,8,,,"[39.5, 27.1]",3930166,0,,,,0.5988472,,Left Foot,,,"[90.2, 61.7]",,High Pass,,61.381187,,,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,From Kick Off,Nuno Mendes,41092.0,Left Center Back,2,Portugal,780,"['6b480eb2-31a8-4a37-ba06-f6d2801b71e0', 'f6c6e665-2682-49b1-9759-f6b41570a687']",3,,,,,,,,,,,,,,,Portugal,780,00:00:03.483,Pass,,,,,,,39.5,27.1,90.2,61.7,,,,,,90.2,61.7,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,1.567823,,,,,,,,,,,,,6b480eb2-31a8-4a37-ba06-f6d2801b71e0,10,,,"[29.9, 18.4]",3930166,0,,,,0.7225878,,Head,,,"[46.8, 33.3]",,High Pass,,22.530424,,,Incomplete,,Jan Kuchta,29484.0,,,,,,Recovery,1,From Kick Off,Robin Hranáč,81330.0,Center Back,2,Portugal,780,"['a19130cc-2001-478b-816c-c428fef2ebe4', 'afa24b1f-fd38-49ad-92fb-1fcd9bc773e0', 'd9c885b3-da97-4a30-b85c-d098b3e777ab']",5,,,,,,,,,,,,,,,Czech Republic,912,00:00:05.865,Pass,,,,,,,29.9,18.4,46.8,33.3,,,,,,46.8,33.3,Portugal vs Czech Republic,Portugal,Czech Republic
,,,,,,,,,,,,,,,,2.860891,,,,,,,,,,,,,03948f74-c79e-4c3e-baeb-fad43178bc13,16,,,"[62.1, 47.2]",3930166,0,,,,1.4651837,,Right Foot,,,"[65.1, 75.5]",,Ground Pass,,28.458567,,,,,Vladimír Coufal,16570.0,,,,,,,1,Regular Play,Pavel Šulc,28227.0,Left Center Midfield,3,Czech Republic,912,"['2a244adc-bdcb-4cc0-9451-a44d51eae86a', '63e20759-8bd3-4c13-9abf-0c8e1227f09d']",10,,,,,,,,,,,,,,,Czech Republic,912,00:00:10.469,Pass,True,,,,,,62.1,47.2,65.1,75.5,,,,,,65.1,75.5,Portugal vs Czech Republic,Portugal,Czech Republic
