50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf521545-2289-4711-b346-a795aa50d543,1,,,,3930167,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 29163, 'name': 'Josip Juranović'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 37148, 'name': 'Josip Šutalo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 28914, 'name': 'Lovro Majer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 7693, 'name': 'Bruno Petković'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]",,,,,,,,,,,,,,,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,713ef13f-2717-4556-86d2-a3356c077f31,2,,,,3930167,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Starting XI,,4141.0,"[{'player': {'id': 7789, 'name': 'Thomas Strakosha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 8291, 'name': 'Arlind Afrim Ajeti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7108, 'name': 'Berat Djimsiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 49097, 'name': 'Mario Mitaj'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24438, 'name': 'Ylber Ramadani'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 41186, 'name': 'Jasir Asani'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 7531, 'name': 'Qazim Laçi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 57303, 'name': 'Kristjan Asllani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 32030, 'name': 'Nedim Bajrami'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 23987, 'name': 'Rey Manaj'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a498bd8d-52c3-467a-a204-2d9aa8978ad8,3,,,,3930167,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['5de33bb8-69c8-4b09-9e8b-a8cdccc9dcda'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5de33bb8-69c8-4b09-9e8b-a8cdccc9dcda,4,,,,3930167,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['a498bd8d-52c3-467a-a204-2d9aa8978ad8'],0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bc5a6234-d186-4dd3-81bd-b7e9ef054aa1,1863,,,,3930167,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,72,Croatia,785,['d9813940-bed6-4128-9f2a-427c45bb6f03'],0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9813940-bed6-4128-9f2a-427c45bb6f03,1864,,,,3930167,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,72,Croatia,785,['bc5a6234-d186-4dd3-81bd-b7e9ef054aa1'],0,,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,1.709943,,,,,,,,,,,,,ff606ee8-d3fe-4a9b-954f-3c1d9bc59573,5,,,"[61.0, 40.1]",3930167,0,,,,3.0842392,,Right Foot,,,"[40.1, 41.3]",,Ground Pass,,20.934422,,,Kristjan Asllani,57303.0,,,,,Kick Off,1,From Kick Off,Qazim Laçi,7531.0,Right Center Midfield,2,Albania,906,['9a0db8f0-ef9d-4339-a0a9-f83fe78ff60a'],0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.551,Pass,,,,,,,61.0,40.1,40.1,41.3,,,,,,40.1,41.3,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,3.145269,,,,,,,,,,,,,bd4eaa81-d1bc-49ef-b123-ad420782669a,8,,,"[42.0, 41.6]",3930167,0,,,,-0.64577824,,Right Foot,,,"[91.1, 4.6]",,High Pass,,61.48016,,,Rey Manaj,23987.0,,,,,,1,From Kick Off,Kristjan Asllani,57303.0,Left Center Midfield,2,Albania,906,['02d05870-3a4e-49f3-938b-834407691cc2'],3,,,,,,,,,,,,,,,,,Albania,906,00:00:03.308,Pass,,,,,,,42.0,41.6,91.1,4.6,,,,,,91.1,4.6,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,0.717105,,,,,,,,,,,,,fe02eca4-ded8-4ec1-9057-8bb5f238fffc,10,,,"[91.2, 5.4]",3930167,0,,,,0.7853982,,Head,,,"[99.5, 13.7]",,High Pass,,11.737972,,Incomplete,,,,,,,,1,From Kick Off,Rey Manaj,23987.0,Center Forward,2,Albania,906,['ce07c96c-b46a-4896-a464-3a654825e81e'],6,,,,,,,,,,,,,,,,,Albania,906,00:00:06.511,Pass,,,,,,,91.2,5.4,99.5,13.7,,,,,,99.5,13.7,Croatia vs Albania,Croatia,Albania
,,,,,,,,,,,,,,,,,1.791284,,,,,,,,,,,,,ce07c96c-b46a-4896-a464-3a654825e81e,11,,,"[20.6, 66.4]",3930167,0,,,,0.44872335,,Head,,,"[36.8, 74.2]",,High Pass,,17.979988,,,Lovro Majer,28914.0,,,,,Recovery,1,From Kick Off,Josip Šutalo,37148.0,Right Center Back,2,Albania,906,"['eb8af72d-9a7e-43a9-8dfd-ca1a69654f89', 'fe02eca4-ded8-4ec1-9057-8bb5f238fffc']",7,,,,,,,,,,,,,,,,,Croatia,785,00:00:07.228,Pass,,,,,,,20.6,66.4,36.8,74.2,,,,,,36.8,74.2,Croatia vs Albania,Croatia,Albania
