50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ec0e1e6c-9345-4655-a29a-db0e661cba5d,1,,,3930168,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 12407, 'name': 'Maximilian Mittelstädt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d2cb49c8-42ec-4d37-b431-0305a9ad6370,2,,,3930168,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 8524, 'name': 'Péter Gulácsi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11268, 'name': 'Attila Fiola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8509, 'name': 'Willi Orban'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 40920, 'name': 'Márton Dárdai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 46789, 'name': 'Bendegúz Bolla'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 89635, 'name': 'Milos Kerkez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 7162, 'name': 'Ádám Nagy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 42822, 'name': 'András Schäfer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 21209, 'name': 'Dominik Szoboszlai'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 19316, 'name': 'Roland Sallai'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 12921, 'name': 'Barnabás Varga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]",,,,,,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0770b3e7-6679-46ab-ab5f-41959b055f0c,3,,,3930168,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['da630563-eb26-4b03-a637-a6fe704e37d1'],0,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,da630563-eb26-4b03-a637-a6fe704e37d1,4,,,3930168,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['0770b3e7-6679-46ab-ab5f-41959b055f0c'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,61fd7c92-e004-454a-9de0-b36e6f316e56,1973,,,3930168,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,70,Germany,770,['fad972fc-0d3a-4455-b6a1-18d0f7ef2c13'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fad972fc-0d3a-4455-b6a1-18d0f7ef2c13,1974,,,3930168,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,70,Germany,770,['61fd7c92-e004-454a-9de0-b36e6f316e56'],0,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.329057,,,,,,,,,,,c673e238-213a-4613-b299-812a1896fcbe,5,,"[60.0, 40.0]",3930168,0,,,,,-1.4247841,,Left Foot,,,,"[60.5, 36.6]",,Ground Pass,,3.436568,,,İlkay Gündoğan,10287.0,,,,,,Kick Off,1,From Kick Off,Kai Havertz,8966.0,Center Forward,2,Germany,770,['1e0d327d-d16e-4ac3-bccf-9b808b77c337'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.500,Pass,,,,,,,60.0,40.0,60.5,36.6,,,,,,60.5,36.6,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.416753,,,,,,,,,,,d542551c-49a4-4f5a-a6de-2e6d43fb8ebb,9,,"[68.8, 33.4]",3930168,0,,,,,-1.4056476,,Right Foot,,,,"[70.0, 26.2]",,Ground Pass,,7.299315,Incomplete,,Maximilian Mittelstädt,12407.0,,,,,,,1,From Kick Off,İlkay Gündoğan,10287.0,Center Attacking Midfield,2,Germany,770,"['3c1588f0-a8a7-4ba8-a6c2-1849b247c511', '89b5047e-09fd-4f0f-88d8-bba51b3fc7fe', 'f0000c60-b0ec-4db7-83c4-21fad395536c']",3,,,,,,,,,,,,,,,,Germany,770,00:00:03.645,Pass,True,,,,,,68.8,33.4,70.0,26.2,,,,,,70.0,26.2,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,1.543278,,,,,,,,,,,41fd2213-5ea0-48b1-a630-df22cd352253,14,,"[50.4, 61.6]",3930168,0,,,,,1.2325864,,Right Foot,,,,"[55.5, 76.1]",,Ground Pass,,15.370751,,,Bendegúz Bolla,46789.0,,,,,,,1,Regular Play,Dominik Szoboszlai,21209.0,Right Attacking Midfield,3,Hungary,916,"['434067d6-26e5-40ba-8d46-aabcc0887141', '94fff719-3723-456f-a11c-ff666265564d']",6,,,,,,,,,,,,,,,,Hungary,916,00:00:06.469,Pass,True,,,,,,50.4,61.6,55.5,76.1,,,,,,55.5,76.1,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,2.849858,,,,,,,,,,,7708e599-a560-4804-99e2-5f2d893dda28,18,,"[65.3, 77.8]",3930168,0,,,,,-0.50817263,,Right Foot,,,,"[96.9, 60.2]",,High Pass,,36.170708,Incomplete,,Barnabás Varga,12921.0,,,,,,,1,Regular Play,Bendegúz Bolla,46789.0,Right Wing Back,3,Hungary,916,"['0f1f010b-8e63-4844-b8db-4bc1804437a9', '1bef734a-98d6-4c84-9ce2-48f6156a3416', 'a83e3923-8648-463c-90b8-f11e880288c7']",9,,,,,,,,,,,,,,,,Hungary,916,00:00:09.323,Pass,True,,,,,,65.3,77.8,96.9,60.2,,,,,,96.9,60.2,Germany vs Hungary,Germany,Hungary
