50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f794b440-b6e5-47eb-b155-a8a12303286f,1,,,,3930170,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,,0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Starting XI,,442.0,"[{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 137487, 'name': 'Žan Karničnik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 205932, 'name': 'Vanja Drkušić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 16047, 'name': 'Jaka Bijol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 28211, 'name': 'Erik Janža'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 31968, 'name': 'Adam Gnezda Čerin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 15896, 'name': 'Timi Elšnik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16528, 'name': 'Petar Stojanović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 31089, 'name': 'Jan Mlakar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 31866, 'name': 'Andraž Šporar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 38759, 'name': 'Benjamin Šeško'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]",,,,,,,,,,,,,,,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b1b295f5-a546-4320-906a-aaa6c7973fca,2,,,,3930170,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,,0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 15731, 'name': 'Predrag Rajković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6321, 'name': 'Milos Veljkovic'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 5603, 'name': 'Nikola Milenković'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 27719, 'name': 'Strahinja Pavlović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6318, 'name': 'Andrija Živković'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 7993, 'name': 'Filip Mladenović'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 30179, 'name': 'Ivan Ilić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6687, 'name': 'Saša Lukić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18015, 'name': 'Dušan Vlahović'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4aacfbb4-be7a-43f1-9aca-aa6628dfa235,3,,,,3930170,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,['53cb0fc8-7a7d-445f-9a48-ef28402b44c7'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,53cb0fc8-7a7d-445f-9a48-ef28402b44c7,4,,,,3930170,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Slovenia,944,['4aacfbb4-be7a-43f1-9aca-aa6628dfa235'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2c9377af-622c-4a71-b32b-8b8459061f76,1943,,,,3930170,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,81,Slovenia,944,['854463a4-bf1f-4531-92c3-2706d8f637aa'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,854463a4-bf1f-4531-92c3-2706d8f637aa,1944,,,,3930170,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,81,Slovenia,944,['2c9377af-622c-4a71-b32b-8b8459061f76'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,1.406175,,,,,,,,,,,,,,ad9631e6-0da6-4ee5-9745-9bc7f29041f9,5,,,"[61.0, 40.1]",3930170,0,,,,-3.1068575,,Right Foot,,,"[35.1, 39.2]",,Ground Pass,,25.915632,,,,Vanja Drkušić,205932.0,,,,,,Kick Off,1,From Kick Off,Andraž Šporar,31866.0,Right Center Forward,2,Slovenia,944,['ba2c99a8-c7a5-46ca-b3c5-bf542ee34e36'],0,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.203,Pass,,,,,,,61.0,40.1,35.1,39.2,,,,,,35.1,39.2,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,2.965201,,,,,,,,,,,,,,3839e2aa-f64e-44f4-a1b3-93f7ef92085e,8,,,"[40.2, 37.9]",3930170,0,,,,-0.3686959,,Right Foot,,,"[93.0, 17.5]",,High Pass,,56.603886,,Incomplete,,Benjamin Šeško,38759.0,,,,,,,1,From Kick Off,Vanja Drkušić,205932.0,Right Center Back,2,Slovenia,944,"['1c39cd8f-6c6d-486c-8d8c-66af5bf47c6b', '6b731710-cf8e-4ee3-977a-b9c3db5e519c']",3,,,,,,,,,,,,,,,,,Slovenia,944,00:00:03.461,Pass,,,,,,,40.2,37.9,93.0,17.5,,,,,,93.0,17.5,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,2.387009,,,,,,,,,,,,,,6b731710-cf8e-4ee3-977a-b9c3db5e519c,10,,,"[27.1, 62.6]",3930170,0,,,,-0.14452517,,Head,,,"[48.4, 59.5]",,High Pass,,21.524405,,Incomplete,,Aleksandar Mitrović,4269.0,,,,,,Recovery,1,From Kick Off,Milos Veljkovic,6321.0,Right Center Back,2,Slovenia,944,"['06c7b3f0-32ce-4b74-9358-9a2d77c8bf30', '1ebef42e-6832-42fe-87ad-b76b4918bf72', '3839e2aa-f64e-44f4-a1b3-93f7ef92085e']",6,,,,,,,,,,,,,,,,,Serbia,786,00:00:06.426,Pass,,,,,,,27.1,62.6,48.4,59.5,,,,,,48.4,59.5,Slovenia vs Serbia,Slovenia,Serbia
,,,,,,,,,,,,,,,,,,0.964677,,,,,,,,,,,,,,c492fe57-6efc-4d33-b27b-6f39661966b3,15,,,"[69.2, 4.9]",3930170,0,,,,1.0026916,,Right Foot,,,"[72.2, 9.6]",,Low Pass,,5.575841,,Incomplete,,Timi Elšnik,15896.0,,,,,,,1,From Kick Off,Adam Gnezda Čerin,31968.0,Right Defensive Midfield,2,Slovenia,944,"['345fcd03-2eaa-4d12-9f53-48a457260b81', '68f502dc-a2aa-46e3-a35c-160f2099daa4', '9fd2fc1f-fbbe-4629-8681-72dba69c0e0c']",10,,,,,,,,,,,,,,,,,Slovenia,944,00:00:10.795,Pass,True,,,,,,69.2,4.9,72.2,9.6,,,,,,72.2,9.6,Slovenia vs Serbia,Slovenia,Serbia
