50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,866d78d1-039f-4dae-ab09-e96d6dc312d5,1,,,3930175,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 8240, 'name': 'Koen Casteels'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6989, 'name': 'Timothy Castagne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 8854, 'name': 'Wout Faes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 43913, 'name': 'Arthur Theate'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 2954, 'name': 'Youri Tielemans'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 48347, 'name': 'Amadou Onana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 12306, 'name': 'Dodi Lukebakio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 23650, 'name': 'Jeremy Doku'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,57e16449-21f0-4a84-a35a-73b04d7fb1c7,2,,,3930175,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Starting XI,,4141.0,"[{'player': {'id': 28242, 'name': 'Florin Constantin Niţă'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24861, 'name': 'Andrei Florin Ratiu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 39615, 'name': 'Radu Drăgușin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31908, 'name': 'Andrei Burcă Andonie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 34600, 'name': 'Nicușor Silviu Bancu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 30913, 'name': 'Marius Mihai Marin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 56905, 'name': 'Dennis Man'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 16344, 'name': 'Răzvan Gabriel Marin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10916, 'name': 'Nicolae Claudiu Stanciu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 72512, 'name': 'Valentin Mihai Mihăilă'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 31193, 'name': 'Denis Mihai Drăguş'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]",,,,,,,,,,,,,,,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b33feb03-9657-4ebf-8080-189d933af3f9,3,,,3930175,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['4ebcc8c6-0e8e-4a23-b9a9-45ea163037d7'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ebcc8c6-0e8e-4a23-b9a9-45ea163037d7,4,,,3930175,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['b33feb03-9657-4ebf-8080-189d933af3f9'],0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1202f5cd-1c21-4143-a901-ca16f5b094c1,1702,,,3930175,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Belgium,782,['94ed2449-15f3-42c8-b765-4df3cdc00f98'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94ed2449-15f3-42c8-b765-4df3cdc00f98,1703,,,3930175,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Belgium,782,['1202f5cd-1c21-4143-a901-ca16f5b094c1'],0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.684875,,,,,,,,,,,,,1ba1a71d-e53d-42e0-9473-8f2d82af9eca,5,,"[60.0, 40.0]",3930175,0,,,,-0.98279375,,Right Foot,,,"[61.2, 38.2]",,Ground Pass,,2.1633308,,,,Kevin De Bruyne,3089.0,,,,,Kick Off,1,From Kick Off,Youri Tielemans,2954.0,Right Defensive Midfield,2,Belgium,782,['b65dece3-2151-4710-afaf-e180caed6bb9'],0,,,,,,,,,,,,,,,,Belgium,782,00:00:00.792,Pass,,,,,,,60.0,40.0,61.2,38.2,,,,,,61.2,38.2,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.933045,,,,,,,,,,,,,2f31d642-3b88-4c14-821a-f1c16d3dad1d,8,,"[61.1, 39.0]",3930175,0,,,,1.9607638,,Right Foot,,,"[51.4, 62.6]",,Ground Pass,,25.515682,,,,Wout Faes,8854.0,,,,,,1,From Kick Off,Kevin De Bruyne,3089.0,Center Attacking Midfield,2,Belgium,782,['d4b9404b-37c7-451a-89c7-1511955506ca'],2,,,,,,,,,,,,,,,,Belgium,782,00:00:02.047,Pass,,,,,,,61.1,39.0,51.4,62.6,,,,,,51.4,62.6,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,0.762879,,,,,,,,,,,,,7e72193c-74cb-49ea-8dc7-ace9246eaa3a,12,,"[51.1, 63.2]",3930175,0,,,,-0.98557925,,Right Foot,,,"[56.6, 54.9]",,Ground Pass,,9.956907,,,,Youri Tielemans,2954.0,,,,,,1,From Kick Off,Wout Faes,8854.0,Right Center Back,2,Belgium,782,"['3b0a8151-ec4d-40ee-96de-ddaf5e5e0fbc', '933b9f14-ee88-443b-a521-9f7dfa5cc56c']",5,,,,,,,,,,,,,,,,Belgium,782,00:00:05.621,Pass,True,,,,,,51.1,63.2,56.6,54.9,,,,,,56.6,54.9,Belgium vs Romania,Belgium,Romania
,,,,,,,,,,,,,,,,1.115186,,,,,,,,,,,,,748b6b2b-8c50-4bd2-8454-a051f9ebc6ef,14,,"[56.6, 54.9]",3930175,0,,,,1.0778972,,Right Foot,,,"[68.9, 77.8]",,Low Pass,,25.99423,,,,Dodi Lukebakio,12306.0,,,,,,1,From Kick Off,Youri Tielemans,2954.0,Right Defensive Midfield,2,Belgium,782,['345620cd-ddb1-458c-9daa-9e98970fb92b'],6,,,,,,,,,,,,,,,,Belgium,782,00:00:06.384,Pass,,,,,,,56.6,54.9,68.9,77.8,,,,,,68.9,77.8,Belgium vs Romania,Belgium,Romania
