50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8e5748a-21de-4495-8716-0a4124f61ce0,1,,,,3930177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,,0,,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 22379, 'name': 'Angus Gunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11116, 'name': 'Jack Hendry'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 9481, 'name': 'Grant Campbell Hanley'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 10002, 'name': 'Scott McKenna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 22308, 'name': 'Anthony Ralston'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3655, 'name': 'Andrew Robertson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 31067, 'name': 'Billy Gilmour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10534, 'name': 'Callum McGregor'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9974, 'name': 'John McGinn'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3620, 'name': 'Scott McTominay'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 9466, 'name': 'Che Adams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c0534e53-14f3-4864-aeaa-ea22b76abdf7,2,,,,3930177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,,0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 8524, 'name': 'Péter Gulácsi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31887, 'name': 'Endre Botka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 8509, 'name': 'Willi Orban'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 40920, 'name': 'Márton Dárdai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 46789, 'name': 'Bendegúz Bolla'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 89635, 'name': 'Milos Kerkez'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 42822, 'name': 'András Schäfer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 4286, 'name': 'Callum Styles'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 21209, 'name': 'Dominik Szoboszlai'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 19316, 'name': 'Roland Sallai'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 12921, 'name': 'Barnabás Varga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]",,,,,,,,,,,,,,,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52edaf28-68f3-412e-9481-acc6b09eabf7,3,,,,3930177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,['d1a51dcb-a114-4994-bbaf-9d36d69880bd'],0,,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1a51dcb-a114-4994-bbaf-9d36d69880bd,4,,,,3930177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,['52edaf28-68f3-412e-9481-acc6b09eabf7'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,443822ce-b824-4089-8a45-e7c9327a7499,1708,,,,3930177,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,71,Hungary,916,['8ee2ff89-2901-45a3-ba15-1837030c07c7'],0,,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8ee2ff89-2901-45a3-ba15-1837030c07c7,1709,,,,3930177,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,71,Hungary,916,['443822ce-b824-4089-8a45-e7c9327a7499'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.358431,,,,,,,,,,,,,ffb90ff5-0695-4a4f-8e8c-aeb53b2721fb,5,,,"[61.0, 40.1]",3930177,0,,,,,3.1168451,,Right Foot,,,,"[40.8, 40.6]",,Ground Pass,,20.206186,,,,Willi Orban,8509.0,,,,,,Kick Off,1,From Kick Off,András Schäfer,42822.0,Right Defensive Midfield,2,Hungary,916,['3bd1f72a-6691-41b9-9d4d-5161a12a2794'],0,,,,,,,,,,,,,,,,,Hungary,916,00:00:00.491,Pass,,,,,,,61.0,40.1,40.8,40.6,,,,,,40.8,40.6,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,2.915059,,,,,,,,,,,,,21b3d753-7870-4060-8b2a-dc54a63addd3,8,,,"[42.3, 41.6]",3930177,0,,,,,-0.27187425,,Right Foot,,,,"[97.9, 26.1]",,High Pass,,57.7201,,Incomplete,,Barnabás Varga,12921.0,,,,,,,1,From Kick Off,Willi Orban,8509.0,Center Back,2,Hungary,916,"['6637c3f3-432a-4e46-9ded-5d8b53ac1fd3', 'fab8ba64-14d9-4596-9c2c-8e4c5e1dfe77']",3,,,,,,,,,,,,,,,,,Hungary,916,00:00:03.288,Pass,,,,,,,42.3,41.6,97.9,26.1,,,,,,97.9,26.1,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.750861,,,,,,,,,,,,,60a707da-21b8-49d6-bfd0-9217cd7f974a,16,,,"[41.6, 64.6]",3930177,0,,,,,-1.9773107,,Right Foot,,,,"[32.0, 42.3]",,Ground Pass,,24.278591,,,,Grant Campbell Hanley,9481.0,,,,,,Free Kick,1,From Free Kick,Jack Hendry,11116.0,Right Center Back,4,Scotland,942,['5d7d3e28-f5ab-4911-bd64-601bd2ac95be'],19,,,,,,,,,,,,,,,,,Scotland,942,00:00:19.471,Pass,,,,,,,41.6,64.6,32.0,42.3,,,,,,32.0,42.3,Scotland vs Hungary,Scotland,Hungary
,,,,,,,,,,,,,,,,,,1.135703,,,,,,,,,,,,,5abeebef-aff0-4b81-9474-1fd8c39e315b,19,,,"[32.8, 42.5]",3930177,0,,,,,0.86217004,,Left Foot,,,,"[37.0, 47.4]",,Ground Pass,,6.453681,,,,Billy Gilmour,31067.0,,,,,,,1,From Free Kick,Grant Campbell Hanley,9481.0,Center Back,4,Scotland,942,['e32699be-0b17-4e94-ab35-f3f30cdd5354'],22,,,,,,,,,,,,,,,,,Scotland,942,00:00:22.258,Pass,,,,,,,32.8,42.5,37.0,47.4,,,,,,37.0,47.4,Scotland vs Hungary,Scotland,Hungary
