50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.0,,,,,,,,,fca2cd4d-7cda-4d85-87cc-c15e2042827e,1,,,3938637,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8289, 'name': 'Bartosz Salamon'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 50502, 'name': 'Nicola Zalewski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 7982, 'name': 'Taras Wiktorowicz Romanczuk'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 4664, 'name': 'Sebastian Szymański'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7663, 'name': 'Adam Buksa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 33680, 'name': 'Kacper Urbanski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 26}]",,,,,,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,0.0,,,,,,,,,afbd7e9f-a67a-4d4c-9800-26403b6b71d2,2,,,3938637,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 21633, 'name': 'Joey Veerman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,0.0,,,,,,,,,ff18fc34-673e-4677-81ab-346a8148624d,3,,,3938637,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['006e8d10-d2d7-49b2-bef1-d9573cb3823b'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,0.0,,,,,,,,,006e8d10-d2d7-49b2-bef1-d9573cb3823b,4,,,3938637,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['ff18fc34-673e-4677-81ab-346a8148624d'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,0.0,,,,,,,,,8ba9fa50-864a-4dd9-805e-a52acad3c100,1759,,,3938637,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,68,Netherlands,941,['5464ac46-2251-4209-acb3-94950ec62407'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,0.0,,,,,,,,,5464ac46-2251-4209-acb3-94950ec62407,1760,,,3938637,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,68,Netherlands,941,['8ba9fa50-864a-4dd9-805e-a52acad3c100'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,1.154519,,,,,,,,,57b3cd29-6810-47e7-a7c2-2baf15c4fd6b,5,,"[60.0, 40.0]",3938637,0,,,,2.4602945,,Right Foot,,,,"[56.3, 43.0]",,Ground Pass,,4.763402,,,,Sebastian Szymański,4664.0,,,,,Kick Off,1,From Kick Off,Piotr Zieliński,5660.0,Left Center Midfield,2,Poland,789,['a161c7af-83ad-4d4d-8690-7e37687558ad'],1,,,,,,,,,,,,,,,,,Poland,789,00:00:01.289,Pass,,,,,,,60.0,40.0,56.3,43.0,,,,,,56.3,43.0,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,2.058165,,,,,,,,,8e1d7296-b2ab-4b1a-b22a-a0885454bda4,7,,"[55.7, 42.8]",3938637,0,,,,-1.2467039,,Left Foot,,,,"[68.6, 4.4]",,High Pass,,40.50889,,,,Nicola Zalewski,50502.0,,,,,,1,From Kick Off,Sebastian Szymański,4664.0,Right Center Midfield,2,Poland,789,['539218c8-29d2-4dba-9884-6eddaf9f07a3'],2,,,,,,,,,,,,,,,,,Poland,789,00:00:02.444,Pass,,,,,,,55.7,42.8,68.6,4.4,,,,,,68.6,4.4,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,3.159053,,,,,,,,,ced069c9-2ad3-420e-ad57-e018ed712ac2,11,,"[68.1, 4.2]",3938637,0,,,,0.44303197,,Right Foot,,,,"[107.3, 22.8]",,Low Pass,,43.38894,,Incomplete,,,,,,,,,1,From Kick Off,Nicola Zalewski,50502.0,Left Wing Back,2,Poland,789,['b9a5ab03-c876-41c5-8628-6ce626b3fce8'],7,,,,,,,,,,,,,,,,,Poland,789,00:00:07.984,Pass,,,,,,,68.1,4.2,107.3,22.8,,,,,,107.3,22.8,Poland vs Netherlands,Poland,Netherlands
,,,,,,,,,,,,,,,,1.071789,,,,,,,,,1cce0ea9-f1bb-4b86-93a1-add2c5ccc046,14,,"[12.0, 44.9]",3938637,0,,,,-1.3352513,,Right Foot,,,,"[15.0, 32.4]",,Ground Pass,,12.85496,,,,Virgil van Dijk,3669.0,,,,,,1,Regular Play,Bart Verbruggen,37274.0,Goalkeeper,3,Netherlands,941,['06f8bfeb-4d79-49c3-aa60-b372d90170e8'],16,,,,,,,,,,,,,,,,,Netherlands,941,00:00:16.927,Pass,,,,,,,12.0,44.9,15.0,32.4,,,,,,15.0,32.4,Poland vs Netherlands,Poland,Netherlands
