50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5763575e-3f36-4844-b6da-0fe9099fdd4e,1,,,3938641,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 30739, 'name': 'Paweł Dawidowicz'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 50502, 'name': 'Nicola Zalewski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 15859, 'name': 'Bartosz Slisz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20841, 'name': 'Jakub Piotrowski'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 12493, 'name': 'Krzysztof Piątek'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 7663, 'name': 'Adam Buksa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]",,,,,,,,,,,,,,,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,955977be-fb8d-407c-9661-a66618076d78,2,,,3938641,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 9731, 'name': 'Patrick Pentz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11821, 'name': 'Stefan Posch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8778, 'name': 'Gernot Trauner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8931, 'name': 'Philipp Lienhart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 13315, 'name': 'Philipp Mwene'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 39460, 'name': 'Nicolas Seiwald'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,aee4c17a-4a3c-413e-abc1-a13e7593f541,3,,,3938641,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['3ae4aa14-7882-467a-85e1-7b09c723025a'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3ae4aa14-7882-467a-85e1-7b09c723025a,4,,,3938641,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['aee4c17a-4a3c-413e-abc1-a13e7593f541'],0,,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f59ae6be-137c-4efd-9269-97e4bdd643d0,1806,,,3938641,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Poland,789,['0999c9cb-29ec-4b51-9c40-53d57b99f957'],0,,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0999c9cb-29ec-4b51-9c40-53d57b99f957,1807,,,3938641,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Poland,789,['f59ae6be-137c-4efd-9269-97e4bdd643d0'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.117529,,,,,,,,,,,,,,20a32b42-4108-4855-8a44-f8b850ae0a6e,5,,"[61.0, 40.1]",3938641,0,,,,1.0349851,,Right Foot,,,,"[62.9, 43.3]",,Ground Pass,,3.7215588,,,,Christoph Baumgartner,24977.0,,,,,Kick Off,1,From Kick Off,Konrad Laimer,8506.0,Center Attacking Midfield,2,Austria,915,['7c5261cf-4a85-4bf7-bae9-29bef89fcf61'],1,,,,,,,,,,,,,,,,,Austria,915,00:00:01.266,Pass,,,,,,,61.0,40.1,62.9,43.3,,,,,,62.9,43.3,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.370892,,,,,,,,,,,,,,5d6506ae-c3b8-47b5-a701-48cf46a004ca,9,,"[76.9, 34.0]",3938641,0,,,,-1.2246604,,Right Foot,,,True,"[79.1, 27.9]",,Ground Pass,,6.484597,,,,Marcel Sabitzer,8518.0,,,,,,1,From Kick Off,Christoph Baumgartner,24977.0,Right Wing,2,Austria,915,['9474ae79-5504-4dde-8239-3df52369b828'],4,,,,,,,,,,,,,,,,,Austria,915,00:00:04.832,Pass,,,,,,,76.9,34.0,79.1,27.9,,,,,,79.1,27.9,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.090037,,,,,,,,,,,,,,28dc3b9e-9d10-4dfd-bab9-bd34045d7d7d,14,,"[82.9, 27.9]",3938641,0,,,,0.22990443,,Right Foot,,,,"[92.3, 30.1]",,Ground Pass,,9.654015,,,,Konrad Laimer,8506.0,,,,,,1,From Kick Off,Marcel Sabitzer,8518.0,Left Wing,2,Austria,915,"['951f11c0-4f05-4210-ad77-2b140d4db07b', 'd9040686-82d3-46b2-b61b-2ecbbe3831d6']",6,,,,,,,,,,,,,,,,,Austria,915,00:00:06.302,Pass,True,,,,,,82.9,27.9,92.3,30.1,,,,,,92.3,30.1,Poland vs Austria,Poland,Austria
,,,,,,,,,,,,,,,,,,,1.118726,,,,,,,,,,,,,,28fefacf-92d0-4095-954d-7bbc3c7f7a27,18,,"[92.1, 25.5]",3938641,0,,,,-1.0652152,,Left Foot,,,,"[98.3, 14.3]",,Ground Pass,,12.801562,,,,Philipp Mwene,13315.0,,,,,,1,From Kick Off,Konrad Laimer,8506.0,Center Attacking Midfield,2,Austria,915,['0edc8d86-4a11-48cd-8651-50123b1077d2'],9,,,,,,,,,,,,,,,,,Austria,915,00:00:09.347,Pass,,,,,,,92.1,25.5,98.3,14.3,,,,,,98.3,14.3,Poland vs Austria,Poland,Austria
