50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c4d02671-638d-4dd6-aef5-4fa8e2454358,1,,,,3938642,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,,0,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Starting XI,,343.0,"[{'player': {'id': 102371, 'name': 'Giorgi Mamardashvili'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 16005, 'name': 'Solomon Kverkvelia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7839, 'name': 'Guram Kashia'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 7655, 'name': 'Lasha Dvali'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25036, 'name': 'Otar Kakabadze'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 22242, 'name': 'Heorhii Tsitaishvili'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 264017, 'name': 'Anzor Mekvabishvili'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 41202, 'name': 'Giorgi Kochorashvili'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 44183, 'name': 'Zuriko Davitashvili'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 38229, 'name': 'Khvicha Kvaratskhelia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 33234, 'name': 'Georges Mikautadze'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]",,,,,,,,,,,,,,,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7241f167-3d72-4078-9dd9-3fa80e6356d4,2,,,,3938642,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,,0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 28040, 'name': 'Jindřich Staněk'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 81330, 'name': 'Robin Hranáč'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 28272, 'name': 'Ladislav Krejčí'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 5}, {'player': {'id': 134272, 'name': 'David Jurásek'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 28034, 'name': 'Lukáš Provod'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8116, 'name': 'Václav Černý'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 28239, 'name': 'Adam Hložek'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2f066a0f-c32f-4cf0-bc98-9c0994c70797,3,,,,3938642,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,['f7cd34c4-f643-4f4b-8eb9-44a3ebc64ae6'],0,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f7cd34c4-f643-4f4b-8eb9-44a3ebc64ae6,4,,,,3938642,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,['2f066a0f-c32f-4cf0-bc98-9c0994c70797'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5959954b-94b6-42ce-b310-d5028c8da0a7,1612,,,,3938642,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,81,Czech Republic,912,['03137ef3-a381-4837-95b0-ce65b910a63d'],0,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,03137ef3-a381-4837-95b0-ce65b910a63d,1613,,,,3938642,45,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,81,Czech Republic,912,['5959954b-94b6-42ce-b310-d5028c8da0a7'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.373719,,,,,,,,,,,,,,,54e43071-059d-4b84-bd9e-553b09890a27,5,,,"[61.0, 40.1]",3938642,0,,,,-2.9352686,,Right Foot,,,"[52.4, 38.3]",Ground Pass,,8.786353,,,Giorgi Kochorashvili,41202.0,,,,,Kick Off,1,From Kick Off,Georges Mikautadze,33234.0,Center Forward,2,Georgia,2138,['702d66cd-43e5-4d68-918b-1005f4bf39c2'],0,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.820,Pass,,,,,,,61.0,40.1,52.4,38.3,,,,,,52.4,38.3,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.97579,,,,,,,,,,,,,,,ef2e227f-7a7b-488d-83f3-80b9c5b0e1d4,8,,,"[51.1, 44.9]",3938642,0,,,,0.65226185,,Right Foot,,,"[63.8, 54.6]",Ground Pass,,15.980614,,,Zuriko Davitashvili,44183.0,,,,,,1,From Kick Off,Giorgi Kochorashvili,41202.0,Left Defensive Midfield,2,Georgia,2138,['bbaffb03-454c-4b45-868a-697b12496bbf'],2,,,,,,,,,,,,,,,,,Georgia,2138,00:00:02.919,Pass,,,,,,,51.1,44.9,63.8,54.6,,,,,,63.8,54.6,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,1.286659,,,,,,,,,,,,,,,7e8bcf8a-8859-43da-8a66-e9513a30baab,12,,,"[99.2, 29.8]",3938642,0,,,,-1.0345005,,Right Foot,,,"[107.7, 15.5]",Ground Pass,,16.635504,,,Heorhii Tsitaishvili,22242.0,,,,,,1,From Kick Off,Zuriko Davitashvili,44183.0,Right Wing,2,Georgia,2138,['ad6ea55b-2a4d-41fd-8c50-834edefeb73e'],9,,,,,,,,,,,,,,,,,Georgia,2138,00:00:09.155,Pass,,,,,,,99.2,29.8,107.7,15.5,,,,,,107.7,15.5,Georgia vs Czech Republic,Georgia,Czech Republic
,,,,,,,,,,,,,,,,,,0.196162,,,,,,,,,,,,,,,ba520c34-652d-4a73-8c4c-a96087ad4365,15,,,"[107.7, 15.5]",3938642,0,,,,1.3909428,,Left Foot,,,"[109.3, 24.3]",Ground Pass,,8.944272,Incomplete,,,,,,,,,1,From Kick Off,Heorhii Tsitaishvili,22242.0,Left Wing Back,2,Georgia,2138,['6a79d11b-9cb2-44dc-8acc-73071c479bb5'],10,,,,,,,,,,,,,,,,,Georgia,2138,00:00:10.601,Pass,,,,,,,107.7,15.5,109.3,24.3,,,,,,109.3,24.3,Georgia vs Czech Republic,Georgia,Czech Republic
