50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e99adb6b-ab54-4e4f-8219-d6ac82bb1df8,1,,,,3938643,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 3761, 'name': 'Mike Maignan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4445, 'name': 'Jules Koundé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 17592, 'name': 'William Saliba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 6704, 'name': 'Theo Bernard François Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3961, 'name': ""N'Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 39420, 'name': 'Bradley Barcola'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9842fa31-0f2c-4d4a-87ac-a9513b880266,2,,,,3938643,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 4626, 'name': 'Jan Bednarek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 30739, 'name': 'Paweł Dawidowicz'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 44166, 'name': 'Jakub Piotr Kiwior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 7979, 'name': 'Przemysław Frankowski'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 50502, 'name': 'Nicola Zalewski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 29480, 'name': 'Jakub Moder'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4664, 'name': 'Sebastian Szymański'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 33680, 'name': 'Kacper Urbanski'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 26}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e4b27a22-b247-4eeb-b0ba-b1b81939e89c,3,,,,3938643,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['a1411d49-c9e4-4d5d-9900-2af4c11aa0b4'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a1411d49-c9e4-4d5d-9900-2af4c11aa0b4,4,,,,3938643,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['e4b27a22-b247-4eeb-b0ba-b1b81939e89c'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c1cbeb10-8810-43db-be41-6fdc2edf2ae5,1929,,,,3938643,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,France,771,['0a8bfa44-70fb-411e-8834-e827ae873089'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0a8bfa44-70fb-411e-8834-e827ae873089,1930,,,,3938643,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,80,France,771,['c1cbeb10-8810-43db-be41-6fdc2edf2ae5'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.308025,,,,,,,,,,,,,,,36efd27b-ca2e-405b-b5e5-ba46c615e136,5,,,"[61.0, 40.1]",3938643,0,,,,-2.331809,,Left Foot,,,"[59.0, 38.0]",Ground Pass,,2.9,,,,Piotr Zieliński,5660.0,,,,,Kick Off,1,From Kick Off,Kacper Urbanski,33680.0,Right Center Forward,2,Poland,789,['e298abf5-69d6-4e91-b361-ad32686c9a3f'],0,,,,,,,,,,,,,,,,,Poland,789,00:00:00.420,Pass,,,,,,,61.0,40.1,59.0,38.0,,,,,,59.0,38.0,France vs Poland,France,Poland
,,,,,,,,,,,,,,,0.670324,,,,,,,,,,,,,,,37fab68f-3a43-4695-9824-1248834db01d,8,,,"[65.5, 44.5]",3938643,0,,,,1.1631649,,Right Foot,,,"[69.3, 53.3]",Ground Pass,,9.585405,,,,Robert Lewandowski,5668.0,,,,,,1,From Kick Off,Piotr Zieliński,5660.0,Left Center Midfield,2,Poland,789,['58a61802-2a87-473a-8b5f-7007e8b65b9c'],2,,,,,,,,,,,,,,,,,Poland,789,00:00:02.590,Pass,,,,,,,65.5,44.5,69.3,53.3,,,,,,69.3,53.3,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.600643,,,,,,,,,,,,,,,eccfd85d-f08c-4e5c-a9c8-7d49e166eff0,12,,,"[64.1, 53.9]",3938643,0,,,,2.7788668,,Right Foot,,,"[47.5, 60.2]",Ground Pass,,17.755281,,,,Jan Bednarek,4626.0,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Left Center Forward,2,Poland,789,['39e4fd98-f73c-46a9-a267-349ff6e83337'],4,,,,,,,,,,,,,,,,,Poland,789,00:00:04.450,Pass,,,,,,,64.1,53.9,47.5,60.2,,,,,,47.5,60.2,France vs Poland,France,Poland
,,,,,,,,,,,,,,,1.12431,,,,,,,,,,,,,,,cd8444b8-1b7d-4d6b-a738-9bdaebf30fde,15,,,"[45.1, 60.2]",3938643,0,,,,-1.2998495,,Right Foot,,,"[49.1, 45.8]",Ground Pass,,14.945233,,,,Jakub Moder,29480.0,,,,,,1,From Kick Off,Jan Bednarek,4626.0,Right Center Back,2,Poland,789,['a6e170f0-1f77-4da2-8bf9-d7a2f13aa186'],7,,,,,,,,,,,,,,,,,Poland,789,00:00:07.436,Pass,,,,,,,45.1,60.2,49.1,45.8,,,,,,49.1,45.8,France vs Poland,France,Poland
