50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,603251bf-8144-4138-80d3-fd10c408df89,1,,,3940878,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 45190, 'name': 'Dan Ndoye'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 16016, 'name': 'Michel Aebischer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 50436, 'name': 'Fabian Rieder'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,35120115-2388-4f6e-8153-4abf756513e4,2,,,3940878,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7004, 'name': 'Gianluca Mancini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 7480, 'name': 'Alessandro Bastoni'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 38909, 'name': 'Nicolò Fagioli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6993, 'name': 'Bryan Cristante'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7156, 'name': 'Federico Chiesa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 10992, 'name': 'Gianluca Scamacca'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,,,,,,,,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4236ed37-e847-4db8-8d20-9d5f32101998,3,,,3940878,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['7b5349c1-8473-4b31-880d-67ff7d157082'],0,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b5349c1-8473-4b31-880d-67ff7d157082,4,,,3940878,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['4236ed37-e847-4db8-8d20-9d5f32101998'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,df57883d-c4d0-49d1-a368-82792abc6f59,1853,,,3940878,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,71,Italy,914,['7a8b385d-7c6d-4076-b216-7d4880a17c07'],0,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7a8b385d-7c6d-4076-b216-7d4880a17c07,1854,,,3940878,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,71,Italy,914,['df57883d-c4d0-49d1-a368-82792abc6f59'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,1.449353,,,,,,,,,,,,7bb29c76-d901-41f7-8513-48aa493d2dd8,5,,"[61.0, 40.1]",3940878,0,,,,3.0500128,,Right Foot,,"[41.4, 41.9]",,Ground Pass,,19.68248,,,,Manuel Obafemi Akanji,5549.0,,,,,Kick Off,1,From Kick Off,Breel-Donald Embolo,5545.0,Center Forward,2,Switzerland,773,['89577beb-9829-4ca9-9a88-754e891d9387'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.595,Pass,,,,,,,61.0,40.1,41.4,41.9,,,,,,41.4,41.9,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,1.372142,,,,,,,,,,,,0952863a-5a1a-4524-b47d-662a4696fcf8,8,,"[42.1, 42.2]",3940878,0,,,,1.5347759,,Left Foot,,"[42.9, 64.4]",,Ground Pass,,22.214409,,,,Fabian Lukas Schär,5537.0,,,,,,1,From Kick Off,Manuel Obafemi Akanji,5549.0,Center Back,2,Switzerland,773,['dc69bd52-21d2-4465-83ad-8f8704ab3cce'],4,,,,,,,,,,,,,,,,,Switzerland,773,00:00:04.496,Pass,,,,,,,42.1,42.2,42.9,64.4,,,,,,42.9,64.4,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,3.309522,,,,,,,,,,,,4ea55f24-3897-4bb1-b00d-7ac7beb482d8,12,,"[42.6, 58.0]",3940878,0,,,,0.009345522,,Left Foot,,"[96.1, 58.5]",,High Pass,,53.502335,,,,Breel-Donald Embolo,5545.0,,,Through Ball,True,,1,From Kick Off,Fabian Lukas Schär,5537.0,Right Center Back,2,Switzerland,773,"['3513f44c-ac27-4008-8600-29e503ee7381', '54f20799-db85-4f93-8a10-97d80ed7d8d9']",7,,,,,,,,,,,,,,,,,Switzerland,773,00:00:07.791,Pass,True,,,,,,42.6,58.0,96.1,58.5,,,,,,96.1,58.5,Switzerland vs Italy,Switzerland,Italy
,,,,,,,,,,,,,,,,,0.064173,,,,,,,,,,,,8146e9db-c640-448d-acbe-70e7d004b986,15,,"[109.1, 58.3]",3940878,0,,,,-1.2998495,,Right Foot,,"[110.1, 54.7]",,Ground Pass,,3.7363083,,Incomplete,,Fabian Rieder,50436.0,,,,,,1,From Kick Off,Breel-Donald Embolo,5545.0,Center Forward,2,Switzerland,773,"['4b19e543-9fc2-4c31-a5e5-54f22d90cdfc', 'a4b17545-ef0a-45fb-873e-f92eadf48802']",15,,,,,,,,,,,,,,,,,Switzerland,773,00:00:15.090,Pass,,,,,,,109.1,58.3,110.1,54.7,,,,,,110.1,54.7,Switzerland vs Italy,Switzerland,Italy
