50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,77776df2-616c-45be-bae2-e777b16cc7f2,1,,,3941020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 32975, 'name': 'Diogo Meireles Costa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 12169, 'name': 'João Maria Lobo Alves Palhinha Gonçalves'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 18360, 'name': 'Rafael Alexandre Conceição Leão'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,c7ddc58e-558b-4214-9600-dc8a3aeec902,2,,,3941020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Starting XI,,442.0,"[{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 137487, 'name': 'Žan Karničnik'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 205932, 'name': 'Vanja Drkušić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 16047, 'name': 'Jaka Bijol'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 30940, 'name': 'Jure Balkovec'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 31968, 'name': 'Adam Gnezda Čerin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 15896, 'name': 'Timi Elšnik'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16528, 'name': 'Petar Stojanović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 31089, 'name': 'Jan Mlakar'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 31866, 'name': 'Andraž Šporar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 38759, 'name': 'Benjamin Šeško'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]",,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,f7161feb-ebbc-4c2f-a552-559fd7fba329,3,,,3941020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['c5edbb47-4cd6-4da8-b8c1-a6d5ce8eee5a'],0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,c5edbb47-4cd6-4da8-b8c1-a6d5ce8eee5a,4,,,3941020,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['f7161feb-ebbc-4c2f-a552-559fd7fba329'],0,,,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,30b1707e-0b3a-4000-af8a-c764235d7241,1574,,,3941020,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Portugal,780,['32452764-76b9-40c3-8dc5-420f3628e707'],0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,32452764-76b9-40c3-8dc5-420f3628e707,1575,,,3941020,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,84,Portugal,780,['30b1707e-0b3a-4000-af8a-c764235d7241'],0,,,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7fb7178d-52ee-4c4d-a301-8c4ab43be2c2,3229,,,3941020,90,,,,,,,,,,,,,,,,,,,,,,,,3,From Corner,,,,160,Portugal,780,['e98d6acb-f64b-404e-b6ee-290702660b09'],0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,e98d6acb-f64b-404e-b6ee-290702660b09,3230,,,3941020,90,,,,,,,,,,,,,,,,,,,,,,,,3,From Corner,,,,160,Portugal,780,['7fb7178d-52ee-4c4d-a301-8c4ab43be2c2'],0,,,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,b96ae0c3-06de-4d8e-b2eb-83912e899c64,3702,,,3941020,105,,,,,,,,,,,,,,,,,,,,,,,,4,From Corner,,,,187,Portugal,780,['5530709c-21d3-470b-bc30-a4c5ccd03f7d'],0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5530709c-21d3-470b-bc30-a4c5ccd03f7d,3703,,,3941020,105,,,,,,,,,,,,,,,,,,,,,,,,4,From Corner,,,,187,Portugal,780,['b96ae0c3-06de-4d8e-b2eb-83912e899c64'],0,,,,,,,,,,,,,,,,,,,Slovenia,944,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,5d32e48c-0b6d-4589-8df6-4bf0fb8d13fc,4206,,,3941020,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Throw In,,,,214,Portugal,780,['6841ad21-0a07-40c2-86f0-7eff4fac6711'],0,,,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Portugal vs Slovenia,Portugal,Slovenia
