50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,88c15daf-48bc-49af-bb9b-1a93a41fbd49,1,,,3941022,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,,0,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 9731, 'name': 'Patrick Pentz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11821, 'name': 'Stefan Posch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 11820, 'name': 'Kevin Danso'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8931, 'name': 'Philipp Lienhart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 13315, 'name': 'Philipp Mwene'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 39460, 'name': 'Nicolas Seiwald'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8784, 'name': 'Romano Schmid'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,,,,,,,,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,392953c0-2233-4567-b0ea-1e54627121bb,2,,,3941022,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,,0,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Starting XI,,343.0,"[{'player': {'id': 30310, 'name': 'Fehmi Mert Günok'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12293, 'name': 'Kaan Ayhan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 23558, 'name': 'Merih Demiral'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 48383, 'name': 'Abdülkerim Bardakcı'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10826, 'name': 'Mert Müldür'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 30438, 'name': 'Ferdi Erenay Kadıoğlu'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 78241, 'name': 'İsmail Yüksek'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 22212, 'name': 'Orkun Kökçü'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 134209, 'name': 'Barış Alper Yılmaz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 151813, 'name': 'Kenan Yildiz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 116587, 'name': 'Arda Güler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]",,,,,,,,,,,,,,,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,87c7628d-b636-4d01-a6ad-b91d2c15a689,3,,,3941022,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,['5a68dc00-d9be-42c9-9e24-b70b87e5c6a6'],0,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,5a68dc00-d9be-42c9-9e24-b70b87e5c6a6,4,,,3941022,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Austria,915,['87c7628d-b636-4d01-a6ad-b91d2c15a689'],0,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a307a0e4-c564-476a-9e45-51432838b811,1882,,,3941022,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Austria,915,['1278dfac-1d84-4040-b74d-a1dc7e99d9c2'],0,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1278dfac-1d84-4040-b74d-a1dc7e99d9c2,1883,,,3941022,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Austria,915,['a307a0e4-c564-476a-9e45-51432838b811'],0,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,,,,,,,,,,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.660922,,,,,,,,,,aa91c2e6-fc20-40b2-b63e-d6b9ebe872e5,5,,"[61.0, 40.1]",3941022,0,,,,1.2667954,,Right Foot,,,"[62.6, 45.2]",,Ground Pass,,5.3450913,,,Christoph Baumgartner,24977.0,,,,,Kick Off,1,From Kick Off,Konrad Laimer,8506.0,Left Defensive Midfield,2,Austria,915,['9b47e2f4-7889-4e7e-9b69-fa08356b644d'],0,,,,,,,,,,,,,,,,Austria,915,00:00:00.704,Pass,,,,,,,61.0,40.1,62.6,45.2,,,,,,62.6,45.2,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.7316,,,,,,,,,,1641e27d-e2b6-45bd-b9ca-9127d022f8b5,8,,"[64.8, 44.4]",3941022,0,,,,-2.3815055,,Right Foot,,,"[56.7, 36.7]",,Ground Pass,,11.175867,,,Nicolas Seiwald,39460.0,,,,,,1,From Kick Off,Christoph Baumgartner,24977.0,Center Attacking Midfield,2,Austria,915,['392779d6-9028-45a1-b89d-d73df7d7ddf0'],2,,,,,,,,,,,,,,,,Austria,915,00:00:02.439,Pass,,,,,,,64.8,44.4,56.7,36.7,,,,,,56.7,36.7,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.038983,,,,,,,,,,0a09b8d2-2002-470c-b08c-958bee71e831,10,,"[55.0, 36.5]",3941022,0,,,,-1.7628443,,Right Foot,,,"[52.2, 22.1]",,Ground Pass,,14.669697,,,Philipp Mwene,13315.0,,,,,,1,From Kick Off,Nicolas Seiwald,39460.0,Right Defensive Midfield,2,Austria,915,['498d6d4e-bb0f-4909-b5bb-0287bc7b8adf'],4,,,,,,,,,,,,,,,,Austria,915,00:00:04.170,Pass,,,,,,,55.0,36.5,52.2,22.1,,,,,,52.2,22.1,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.417532,,,,,,,,,,85ef3a06-95ec-415e-b25e-c001aef87571,12,,"[52.1, 22.0]",3941022,0,,,,0.61072594,,Right Foot,,,"[79.1, 40.9]",,High Pass,,32.9577,Incomplete,,Konrad Laimer,8506.0,,,,,,1,From Kick Off,Philipp Mwene,13315.0,Left Back,2,Austria,915,"['91f65ea5-9411-452a-b98e-5ffb3bc886c0', 'a033a40a-820b-4cf3-9463-0a4154c5042c']",5,,,,,,,,,,,,,,,,Austria,915,00:00:05.209,Pass,,,,,,,52.1,22.0,79.1,40.9,,,,,,79.1,40.9,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.761418,,,,,,,,,,91f65ea5-9411-452a-b98e-5ffb3bc886c0,15,,"[41.0, 39.2]",3941022,0,,,,0.5907126,,Right Foot,,,"[49.5, 44.9]",,Ground Pass,,10.234256,,,Orkun Kökçü,22212.0,,,,,Recovery,1,Regular Play,İsmail Yüksek,78241.0,Right Defensive Midfield,3,Turkey,909,"['1a0ab69f-16e6-4bb7-aff0-85c40a429851', '31dd499d-7a7b-48f5-8518-efcbb88137cf', '85ef3a06-95ec-415e-b25e-c001aef87571']",6,,,,,,,,,,,,,,,,Turkey,909,00:00:06.627,Pass,True,,,,,,41.0,39.2,49.5,44.9,,,,,,49.5,44.9,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,0.903825,,,,,,,,,,6e2e3f9d-97b3-43fc-9b50-a2d83e020715,20,,"[50.3, 44.6]",3941022,0,,,,-1.0664189,,Right Foot,,,"[57.2, 32.1]",,High Pass,,14.277955,,,Kenan Yildiz,151813.0,,,,,,1,Regular Play,Orkun Kökçü,22212.0,Left Defensive Midfield,3,Turkey,909,"['41c59437-eb05-41be-b9df-d39128978dfd', '7670f336-b62e-4c58-ab82-52b219dec92b', '92d80af8-4c86-4038-8f88-fdf738784bbf']",8,,,,,,,,,,,,,,,,Turkey,909,00:00:08.230,Pass,True,,,,,,50.3,44.6,57.2,32.1,,,,,,57.2,32.1,Austria vs Turkey,Austria,Turkey
,,,,,,,,,,,,,,,,1.668251,,,,,,,,,,72eef8d8-45f3-47ca-91b7-89415ad297ca,22,,"[58.2, 32.8]",3941022,0,,,,2.7599525,,Head,,,"[43.0, 38.9]",,Low Pass,,16.37834,Incomplete,,İsmail Yüksek,78241.0,,,,,,1,Regular Play,Kenan Yildiz,151813.0,Left Wing,3,Turkey,909,"['97bb1c83-6eef-4d4d-96d7-5fd638fdc423', '9ecd8b32-c32f-4992-bef7-970ce1cdb01a']",9,,,,,,,,,,,,,,,,Turkey,909,00:00:09.214,Pass,,,,,,,58.2,32.8,43.0,38.9,,,,,,43.0,38.9,Austria vs Turkey,Austria,Turkey
