50_50,bad_behaviour_card,ball_receipt_outcome,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9e3dcaaf-97f1-482c-a31d-3dd68c90489e,1,,,,3930161,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7480, 'name': 'Alessandro Bastoni'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 41768, 'name': 'Riccardo Calafiori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12255, 'name': 'Federico Dimarco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 30926, 'name': 'Davide Frattesi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7156, 'name': 'Federico Chiesa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6963, 'name': 'Lorenzo Pellegrini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10992, 'name': 'Gianluca Scamacca'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d48eb47-d8d4-4d1b-bbbf-22ac480c22cc,2,,,,3930161,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,,0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 7789, 'name': 'Thomas Strakosha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 8291, 'name': 'Arlind Afrim Ajeti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7108, 'name': 'Berat Djimsiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 49097, 'name': 'Mario Mitaj'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24438, 'name': 'Ylber Ramadani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 57303, 'name': 'Kristjan Asllani'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 41186, 'name': 'Jasir Asani'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 32030, 'name': 'Nedim Bajrami'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 29531, 'name': 'Taulant Sulejmanov'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 36885, 'name': 'Armando Broja'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]",,,,,,,,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84726dc1-617e-4a80-9d88-d967224cb9c9,3,,,,3930161,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['6fd413db-8651-4cc0-be90-29ab6cad3133'],0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Half Start,,,,,,,,,,,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6fd413db-8651-4cc0-be90-29ab6cad3133,4,,,,3930161,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy,914,['84726dc1-617e-4a80-9d88-d967224cb9c9'],0,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,66678c64-db23-405c-8217-0b3d29f783c2,1941,,,,3930161,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,64,Italy,914,['bc0f5fe3-d28e-4057-81d2-a13fecabd8e2'],0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Half Start,,,,,,,,,,,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bc0f5fe3-d28e-4057-81d2-a13fecabd8e2,1942,,,,3930161,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,64,Italy,914,['66678c64-db23-405c-8217-0b3d29f783c2'],0,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,1.001511,,,,,,,,,,,,,52a5b6be-88fd-4c31-bec2-50aa37cacc0c,5,,,"[60.0, 40.0]",3930161,0,,,,,-3.0725203,,Right Foot,,,,"[44.1, 38.9]",,Ground Pass,,15.9380045,,,Ylber Ramadani,24438.0,,,,,Kick Off,1,From Kick Off,Nedim Bajrami,32030.0,Center Attacking Midfield,2,Albania,906,['c1892f52-8164-4042-bb01-6cf75eee5fdb'],0,,,,,,,,,,,,,,,,,Albania,906,00:00:00.863,Pass,,,,,,,60.0,40.0,44.1,38.9,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,1.276142,,,,,,,,,,,,,6b31c6c0-c103-4d18-ad91-4b01035cb218,8,,,"[45.1, 37.7]",3930161,0,,,,,-1.213804,,Right Foot,,,,"[52.0, 19.2]",,Ground Pass,,19.744873,,,Kristjan Asllani,57303.0,,,,,,1,From Kick Off,Ylber Ramadani,24438.0,Right Defensive Midfield,2,Albania,906,['bb6a9d76-75f9-4400-85dd-35c1ddaa00ce'],2,,,,,,,,,,,,,,,,,Albania,906,00:00:02.579,Pass,,,,,,,45.1,37.7,52.0,19.2,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,4.917284,,,,,,,,,,,,,e5e61931-7c87-418a-968f-ea41065b1367,11,,,"[54.2, 22.3]",3930161,0,,,,,0.80952215,,Left Foot,,,,"[108.8, 79.6]",,High Pass,,79.14828,Out,,Jasir Asani,41186.0,,True,,,,1,From Kick Off,Kristjan Asllani,57303.0,Left Defensive Midfield,2,Albania,906,['57549ad1-dcd6-4f55-834c-d982891b44a2'],4,,,,,,,,,,,,,,,,,Albania,906,00:00:04.984,Pass,,,,,,,54.2,22.3,108.8,79.6,Italy vs Albania,Italy,Albania
,,,,,,,,,,,,,,,,2.078985,,,,,,,,,,,,,86c1b6e3-81ec-445e-952d-0522994ce37d,13,,,"[16.3, 0.1]",3930161,0,,,,,1.7876134,,,,,,"[10.0, 28.7]",,Low Pass,,29.285662,Incomplete,,,,,,,,Throw-in,1,From Throw In,Federico Dimarco,12255.0,Left Back,3,Italy,914,['9198a07d-eebb-4048-9514-36b9b5508869'],20,,,,,,,,,,,,,,,,,Italy,914,00:00:20.848,Pass,,,,,,,16.3,0.1,10.0,28.7,Italy vs Albania,Italy,Albania
