50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2356f4c6-c440-42cf-86ac-0346e0ebc97f,1,,,,3930169,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,,0,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Starting XI,,3412.0,"[{'player': {'id': 22379, 'name': 'Angus Gunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11116, 'name': 'Jack Hendry'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 9481, 'name': 'Grant Campbell Hanley'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 10540, 'name': 'Kieran Tierney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 22308, 'name': 'Anthony Ralston'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3655, 'name': 'Andrew Robertson'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 31067, 'name': 'Billy Gilmour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10534, 'name': 'Callum McGregor'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3620, 'name': 'Scott McTominay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 9466, 'name': 'Che Adams'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 9974, 'name': 'John McGinn'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]",,,,,,,,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b2b7781e-c6b8-4fb3-a85d-6283092dc82f,2,,,,3930169,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,,0,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Starting XI,,3412.0,"[{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 16016, 'name': 'Michel Aebischer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 45190, 'name': 'Dan Ndoye'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]",,,,,,,,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5c1d92fa-ded8-484a-9115-89c3243f7bfb,3,,,,3930169,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,['852f5cb6-795d-4563-83ce-44313f83dfd4'],0,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Half Start,,,,,,,,,,,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,852f5cb6-795d-4563-83ce-44313f83dfd4,4,,,,3930169,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland,942,['5c1d92fa-ded8-484a-9115-89c3243f7bfb'],0,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0cb6e5cf-b53c-41d9-a48d-08572797d6d3,1656,,,,3930169,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Switzerland,773,['6ede4412-b935-4b98-8fc3-ea99a9afee08'],0,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6ede4412-b935-4b98-8fc3-ea99a9afee08,1657,,,,3930169,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Switzerland,773,['0cb6e5cf-b53c-41d9-a48d-08572797d6d3'],0,,,,,,,,,,,,,,,,Scotland,942,00:00:00.000,Half Start,,,,,,,,,,,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,1.036001,,,,,,,,,,,,91408c07-f560-4806-a2e7-51662875334c,5,,,"[60.0, 40.0]",3930169,0,,,,,3.1415927,,Right Foot,,,,"[55.3, 40.0]",,Ground Pass,,4.7,,,John McGinn,9974.0,,,,,Kick Off,1,From Kick Off,Billy Gilmour,31067.0,Right Defensive Midfield,2,Scotland,942,['02c5807d-c105-4349-91d9-23ef61160aa2'],0,,,,,,,,,,,,,,,,Scotland,942,00:00:00.568,Pass,,,,,,,60.0,40.0,55.3,40.0,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,4.286167,,,,,,,,,,,,22863643-734c-4c72-b127-833e35c37ba2,8,,,"[55.3, 39.7]",3930169,0,,,,,0.6534826,,Left Foot,,,,"[107.8, 79.9]",,High Pass,,66.12329,,Out,Che Adams,9466.0,,True,,,,1,From Kick Off,John McGinn,9974.0,Left Center Forward,2,Scotland,942,['9862e751-c183-4e1c-8acd-035e38db0b2a'],1,,,,,,,,,,,,,,,,Scotland,942,00:00:01.696,Pass,,,,,,,55.3,39.7,107.8,79.9,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,1.780371,,,,,,,,,,,,71f058cb-2ef2-448b-9a52-27d7671d5559,10,,,"[15.6, 0.1]",3930169,0,,,,,0.31813174,,,,,,"[40.5, 8.3]",,High Pass,,26.215454,,Incomplete,Xherdan Shaqiri,3533.0,,,,,Throw-in,1,From Throw In,Ricardo Iván Rodríguez Araya,5544.0,Left Center Back,3,Switzerland,773,"['a44c551e-9122-4785-a469-b7fc9024056e', 'd026ac94-2e9a-4472-b48f-c86156bfccea']",23,,,,,,,,,,,,,,,,Switzerland,773,00:00:23.502,Pass,,,,,,,15.6,0.1,40.5,8.3,Scotland vs Switzerland,Scotland,Switzerland
,,,,,,,,,,,,,,,,,,2.413508,,,,,,,,,,,,d026ac94-2e9a-4472-b48f-c86156bfccea,13,,,"[79.6, 71.8]",3930169,0,,,,True,1.5831413,,,,,,"[79.5, 79.9]",,High Pass,,8.100617,,Out,Jack Hendry,11116.0,,,,,Recovery,1,From Throw In,Callum McGregor,10534.0,Left Defensive Midfield,3,Switzerland,773,"['3483b808-9510-41ae-8cd0-825f7faa586e', '71f058cb-2ef2-448b-9a52-27d7671d5559', '8ee29f5e-3ea8-4a36-8e60-1d14e7100760']",25,,,,,,,,,,,,,,,,Scotland,942,00:00:25.282,Pass,True,,,,,,79.6,71.8,79.5,79.9,Scotland vs Switzerland,Scotland,Switzerland
