50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a1c9b750-0e8d-4b8f-acca-f246439ca3e7,1,,,,3930172,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 22128, 'name': 'Robin Aime Robert Le Normand'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 17620, 'name': 'Marc Cucurella Saseta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 316046, 'name': 'Lamine Yamal Nasraoui Ebana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 68574, 'name': 'Nicholas Williams Arthuer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,216ef682-665a-400a-a432-e92bc06a9280,2,,,,3930172,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7480, 'name': 'Alessandro Bastoni'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 41768, 'name': 'Riccardo Calafiori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 12255, 'name': 'Federico Dimarco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 30926, 'name': 'Davide Frattesi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7156, 'name': 'Federico Chiesa'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6963, 'name': 'Lorenzo Pellegrini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10992, 'name': 'Gianluca Scamacca'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,37ec918b-ab55-4fd9-8a8d-1e7f4fddabec,3,,,,3930172,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['bf7e0372-5a1e-497a-8199-efdefefbc7ea'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bf7e0372-5a1e-497a-8199-efdefefbc7ea,4,,,,3930172,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['37ec918b-ab55-4fd9-8a8d-1e7f4fddabec'],0,,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6ca98d6e-4fea-49a3-b3db-8b1b0dacfbec,2002,,,,3930172,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Italy,914,['9fa4c1b4-2288-4803-9d37-85f009156e21'],0,,,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9fa4c1b4-2288-4803-9d37-85f009156e21,2003,,,,3930172,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Italy,914,['6ca98d6e-4fea-49a3-b3db-8b1b0dacfbec'],0,,,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.079577,,,,,,,,,,,,,,660f5de1-6db9-48d9-9d5a-22daff8ccfde,5,,,"[61.0, 40.1]",3930172,0,,,,,1.1784562,,Right Foot,,,"[62.2, 43.0]",Ground Pass,,3.138471,,,Nicolò Barella,8181.0,,,,,Kick Off,1,From Kick Off,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,2,Italy,914,['65be1fc4-1c02-4cbb-9634-5fea0311c2ff'],0,,,,,,,,,,,,,,,,,,Italy,914,00:00:00.977,Pass,,,,,,,61.0,40.1,62.2,43.0,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,2.053739,,,,,,,,,,,,,,5bf9c153-3ba6-4c3b-bc3a-114870490c81,8,,,"[68.9, 45.2]",3930172,0,,,,,1.5929329,,Right Foot,,,"[68.3, 72.3]",Ground Pass,,27.106642,,,Giovanni Di Lorenzo,11514.0,,,,,,1,From Kick Off,Nicolò Barella,8181.0,Left Center Midfield,2,Italy,914,['ec0c47af-929e-4729-86af-4d52ce33b546'],3,,,,,,,,,,,,,,,,,,Italy,914,00:00:03.344,Pass,,,,,,,68.9,45.2,68.3,72.3,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,1.988733,,,,,,,,,,,,,,1352a39e-1854-420d-b17e-77fa758ff11c,11,,,"[70.2, 77.7]",3930172,0,,,,,0.04930212,,Right Foot,,,"[100.6, 79.2]",High Pass,,30.436985,,Incomplete,Federico Chiesa,7156.0,,,,,,1,From Kick Off,Giovanni Di Lorenzo,11514.0,Right Back,2,Italy,914,"['a81948d2-cbb0-4cfd-8054-a27d063f9cf1', 'bbc66051-6752-4b9b-a111-c50946945533']",7,,,,,,,,,,,,,,,,,,Italy,914,00:00:07.290,Pass,,,,,,,70.2,77.7,100.6,79.2,Spain vs Italy,Spain,Italy
,,,,,,,,,,,,,,,,,,2.714752,,,,,,,,,,,,,,5e47d5b9-0d7f-4712-a8a4-9badc30f1ebd,14,,,"[101.2, 80.0]",3930172,0,,,,,-0.904273,,,,,"[120.0, 56.1]",High Pass,,30.408058,,Out,Davide Frattesi,30926.0,,,,,Throw-in,1,From Throw In,Giovanni Di Lorenzo,11514.0,Right Back,3,Italy,914,['ca9a7e9c-41e3-4199-9ba2-9bf6f6827996'],29,,,,,,,,,,,,,,,,,,Italy,914,00:00:29.252,Pass,,,,,,,101.2,80.0,120.0,56.1,Spain vs Italy,Spain,Italy
