50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2589a24a-140f-49fa-98fb-6f4629b50fb6,1,,,3930176,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 16016, 'name': 'Michel Aebischer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 50436, 'name': 'Fabian Rieder'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 45190, 'name': 'Dan Ndoye'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ceab32c6-2974-48c9-83e0-fe21312de4a3,2,,,3930176,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,,0,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 12407, 'name': 'Maximilian Mittelstädt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9f7fdbbb-da7c-41f7-a8e4-adfa36b69e2b,3,,,3930176,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['197068b4-4ae9-4238-aa01-1358d1d7f3db'],0,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,197068b4-4ae9-4238-aa01-1358d1d7f3db,4,,,3930176,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland,773,['9f7fdbbb-da7c-41f7-a8e4-adfa36b69e2b'],0,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bbde4fca-99af-4f14-b2a2-7c71425525f9,1982,,,3930176,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Switzerland,773,['e4b6d059-0325-4817-ae56-544b6a8108e8'],0,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e4b6d059-0325-4817-ae56-544b6a8108e8,1983,,,3930176,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,74,Switzerland,773,['bbde4fca-99af-4f14-b2a2-7c71425525f9'],0,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,,,,,,,,,,,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.855631,,,,,,,,,,,,,3b7a02c2-3e57-46ae-b883-f145d99d0a63,5,,"[61.0, 40.1]",3930176,0,,,,-2.802729,,Left Foot,,,,"[48.8, 35.8]",,Ground Pass,,12.93561,,,Toni Kroos,5574.0,,,,,Kick Off,1,From Kick Off,Kai Havertz,8966.0,Center Forward,2,Germany,770,['79eefe89-ab02-4036-8207-5c88afa29c6a'],0,,,,,,,,,,,,,,,Germany,770,00:00:00.393,Pass,,,,,,,61.0,40.1,48.8,35.8,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,0.771849,,,,,,,,,,,,,f634133f-373d-4fef-af2c-ec85d6e59e88,8,,"[48.6, 36.4]",3930176,0,,,,1.55228,,Left Foot,,,,"[48.8, 47.2]",,Ground Pass,,10.801851,,,Robert Andrich,9195.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['7f22bfaa-e123-4dd1-9340-20ab6d8a7b1b'],1,,,,,,,,,,,,,,,Germany,770,00:00:01.324,Pass,,,,,,,48.6,36.4,48.8,47.2,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.194958,,,,,,,,,,,,,4cc1c457-f84c-4277-898b-e795849aa03f,11,,"[49.2, 46.9]",3930176,0,,,,-1.9832067,,Right Foot,,,,"[46.4, 40.5]",,Ground Pass,,6.9856997,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Robert Andrich,9195.0,Right Defensive Midfield,2,Germany,770,['82891b55-b7e2-487c-8109-1a5359d807fe'],2,,,,,,,,,,,,,,,Germany,770,00:00:02.157,Pass,,,,,,,49.2,46.9,46.4,40.5,Switzerland vs Germany,Switzerland,Germany
,,,,,,,,,,,,,,,,,,1.804221,,,,,,,,,,,,,4e0aea03-d82b-45f2-a691-7dd41f4bf6ee,14,,"[47.7, 35.8]",3930176,0,,,,-1.4016951,,Right Foot,,,,"[51.2, 15.3]",,Ground Pass,,20.796635,,,Maximilian Mittelstädt,12407.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Defensive Midfield,2,Germany,770,['07e74f74-7cb1-441b-8ddd-482140c28720'],4,,,,,,,,,,,,,,,Germany,770,00:00:04.149,Pass,,,,,,,47.7,35.8,51.2,15.3,Switzerland vs Germany,Switzerland,Germany
