50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed8e8ab9-442c-4f33-a89b-7c9eba0c2ccb,1,,,3930178,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 16531, 'name': 'Dominik Livaković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 37148, 'name': 'Josip Šutalo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8773, 'name': 'Marin Pongracic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 33018, 'name': 'Joško Gvardiol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 39490, 'name': 'Luka Sučić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c6841154-8874-4495-bc3e-de992ba83920,2,,,3930178,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4587, 'name': 'Matteo Darmian'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 7480, 'name': 'Alessandro Bastoni'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 41768, 'name': 'Riccardo Calafiori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11514, 'name': 'Giovanni Di Lorenzo'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 12255, 'name': 'Federico Dimarco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8181, 'name': 'Nicolò Barella'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6963, 'name': 'Lorenzo Pellegrini'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 25048, 'name': 'Giacomo Raspadori'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 31093, 'name': 'Mateo Retegui'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]",,,,,,,,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,17a5db14-2507-4b90-8e34-0883bc4a054b,3,,,3930178,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['23505fd5-0150-47e6-b9ad-30a3ca65b3bc'],0,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23505fd5-0150-47e6-b9ad-30a3ca65b3bc,4,,,3930178,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['17a5db14-2507-4b90-8e34-0883bc4a054b'],0,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,,,,,,,,,,,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a458ac7c-21bd-4948-83e3-3dcb775d2894,2197,,,3930178,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,67,Italy,914,['fde840e6-b159-48a4-b424-f63a57a852b1'],0,,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,,,,,,,,,,,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fde840e6-b159-48a4-b424-f63a57a852b1,2198,,,3930178,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,67,Italy,914,['a458ac7c-21bd-4948-83e3-3dcb775d2894'],0,,,,,,,,,,,,,,,,Italy,914,00:00:00.000,Half Start,,,,,,,,,,,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.006743,,,,,,,,,,,,,e636cb6b-2e41-4eff-8084-e8ef4a567b4b,5,,"[61.0, 40.1]",3930178,0,,,,,2.616797,,Right Foot,,,"[51.5, 45.6]",Ground Pass,,10.977249,,,,Luka Modrić,5463.0,,,,,Kick Off,1,From Kick Off,Andrej Kramarić,5460.0,Center Forward,2,Croatia,785,['43ba8bd6-c429-4192-977a-d721b54d3079'],0,,,,,,,,,,,,,,,,Croatia,785,00:00:00.287,Pass,,,,,,,61.0,40.1,51.5,45.6,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.381013,,,,,,,,,,,,,5b0b3aec-a9c2-40e8-8fda-4ab2e2e3b48d,8,,"[51.9, 45.7]",3930178,0,,,,,3.055142,,Right Foot,,,"[36.9, 47.0]",Ground Pass,,15.056228,,,,Josip Šutalo,37148.0,,,,,,1,From Kick Off,Luka Modrić,5463.0,Right Center Midfield,2,Croatia,785,['be7c322c-bc75-4e97-a91b-e5ea5765a7b0'],1,,,,,,,,,,,,,,,,Croatia,785,00:00:01.614,Pass,,,,,,,51.9,45.7,36.9,47.0,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.715591,,,,,,,,,,,,,ae25eef3-bb09-48d3-8a2d-65ebf0bc4a0c,11,,"[37.8, 47.9]",3930178,0,,,,,1.1202565,,Left Foot,,,"[48.2, 69.4]",Ground Pass,,23.883257,,,,Josip Stanišić,49337.0,,,,,,1,From Kick Off,Josip Šutalo,37148.0,Right Center Back,2,Croatia,785,['7a12e19b-4319-4c2f-822d-28afd5f9768a'],4,,,,,,,,,,,,,,,,Croatia,785,00:00:04.377,Pass,,,,,,,37.8,47.9,48.2,69.4,Croatia vs Italy,Croatia,Italy
,,,,,,,,,,,,,,,1.684227,,,,,,,,,,,,,d420ec57-6501-4878-bb04-928086e13089,14,,"[49.1, 69.7]",3930178,0,,,,,-2.3064272,,Right Foot,,,"[36.7, 56.0]",Ground Pass,,18.478365,,,,Josip Šutalo,37148.0,,,,,,1,From Kick Off,Josip Stanišić,49337.0,Right Back,2,Croatia,785,['abd8a8c5-98ba-4997-b611-72342f45ae98'],8,,,,,,,,,,,,,,,,Croatia,785,00:00:08.153,Pass,,,,,,,49.1,69.7,36.7,56.0,Croatia vs Italy,Croatia,Italy
