50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15dff6e2-0c63-4b01-923e-56b157ff98ca,1,,,,3930179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albania,906,,0,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 7789, 'name': 'Thomas Strakosha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 3378, 'name': 'Iván Balliu Campeny'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8291, 'name': 'Arlind Afrim Ajeti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7108, 'name': 'Berat Djimsiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 49097, 'name': 'Mario Mitaj'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24438, 'name': 'Ylber Ramadani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 57303, 'name': 'Kristjan Asllani'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 41186, 'name': 'Jasir Asani'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 7531, 'name': 'Qazim Laçi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 32030, 'name': 'Nedim Bajrami'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 23987, 'name': 'Rey Manaj'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5221db61-fc65-42f4-b4e6-6bbf3e650103,2,,,,3930179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albania,906,,0,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 4127, 'name': 'David Raya Martin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 41542, 'name': 'Daniel Vivian Moreno'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 24921, 'name': 'Martín Zubimendi Ibáñez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3042, 'name': 'Mikel Merino Zazón'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6748, 'name': 'Ferrán Torres García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 3265, 'name': 'José Luis Sanmartín Mato'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28cec252-8891-4a29-a54f-bd9fc860a471,3,,,,3930179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albania,906,['7121f798-796f-4fda-a0ec-f07e9709d66c'],0,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7121f798-796f-4fda-a0ec-f07e9709d66c,4,,,,3930179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albania,906,['28cec252-8891-4a29-a54f-bd9fc860a471'],0,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Half Start,,,,,,,,,,,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,639f1d11-2757-4747-8af5-f38adb0ac6dc,1785,,,,3930179,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,74,Albania,906,['f2273b78-155b-46fa-8b28-680ee6dd04cb'],0,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2273b78-155b-46fa-8b28-680ee6dd04cb,1786,,,,3930179,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,74,Albania,906,['639f1d11-2757-4747-8af5-f38adb0ac6dc'],0,,,,,,,,,,,,,,,,Albania,906,00:00:00.000,Half Start,,,,,,,,,,,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.513716,,,,,,,,,,,,,6cd93b8d-12d6-4cd5-9368-d81e92e586ba,5,,,"[60.0, 40.0]",3930179,0,,,,,-3.039622,,Right Foot,,,"[38.5, 37.8]",,Ground Pass,,21.612265,,,Ylber Ramadani,24438.0,,,,,Kick Off,1,From Kick Off,Qazim Laçi,7531.0,Center Attacking Midfield,2,Albania,906,['d5238ccd-c793-420b-998b-9fe41bde0057'],0,,,,,,,,,,,,,,,,Albania,906,00:00:00.646,Pass,,,,,,,60.0,40.0,38.5,37.8,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,2.410254,,,,,,,,,,,,,5473446d-65d8-4052-b798-6f0d21001049,8,,,"[40.2, 40.2]",3930179,0,,,,,-0.62290907,,Right Foot,,,"[89.9, 4.5]",,High Pass,,61.192974,,,Rey Manaj,23987.0,,,,,,1,From Kick Off,Ylber Ramadani,24438.0,Right Defensive Midfield,2,Albania,906,['a9e85347-b75a-4af3-8813-9ef537b52356'],3,,,,,,,,,,,,,,,,Albania,906,00:00:03.203,Pass,,,,,,,40.2,40.2,89.9,4.5,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.262509,,,,,,,,,,,,,86a1456b-09eb-4eb1-9274-7a3b429a7af2,11,,,"[91.3, 2.3]",3930179,0,,,,True,2.155674,,,,,"[86.4, 9.7]",,High Pass,,8.875246,Incomplete,,Nedim Bajrami,32030.0,,,,,,1,From Kick Off,Rey Manaj,23987.0,Center Forward,2,Albania,906,"['01660ad3-b7c2-4b72-9de5-f62f3905884d', '0c507c4c-0535-4c5e-a706-69b8c3989236', '14c29d95-c7d4-49d5-8ad9-fc1b8c09d5fc']",5,,,,,,,,,,,,,,,,Albania,906,00:00:05.791,Pass,True,,,,,,91.3,2.3,86.4,9.7,Albania vs Spain,Albania,Spain
,,,,,,,,,,,,,,,,,,1.300495,,,,,,,,,,,,,01660ad3-b7c2-4b72-9de5-f62f3905884d,13,,,"[33.7, 70.4]",3930179,0,,,,,1.036202,,Left Foot,,,"[38.2, 78.0]",,Low Pass,,8.832327,,,Ferrán Torres García,6748.0,,,,,Recovery,1,Regular Play,Martín Zubimendi Ibáñez,24921.0,Right Defensive Midfield,3,Spain,772,"['86a1456b-09eb-4eb1-9274-7a3b429a7af2', 'ef815453-aa49-421c-8185-8be6d63d034e']",7,,,,,,,,,,,,,,,,Spain,772,00:00:07.053,Pass,,,,,,,33.7,70.4,38.2,78.0,Albania vs Spain,Albania,Spain
