50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d6422116-ef88-44b6-84d3-b466bdfa05d2,1,,,,3930180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22352, 'name': 'Lutsharel Geertruida'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 21633, 'name': 'Joey Veerman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15582, 'name': 'Donyell Malen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,abcd22f7-e442-4196-8706-4d482a37fd7c,2,,,,3930180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 9731, 'name': 'Patrick Pentz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11821, 'name': 'Stefan Posch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8931, 'name': 'Philipp Lienhart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 8068, 'name': 'Maximilian Wöber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 39545, 'name': 'Alexander Prass'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 39460, 'name': 'Nicolas Seiwald'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8784, 'name': 'Romano Schmid'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 33297, 'name': 'Patrick Wimmer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,11f88a8e-9dcc-4709-a1e6-7a2e9ef0cd0c,3,,,,3930180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['da1e6ec2-b3f9-4870-a412-7fd13208c323'],0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,da1e6ec2-b3f9-4870-a412-7fd13208c323,4,,,,3930180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['11f88a8e-9dcc-4709-a1e6-7a2e9ef0cd0c'],0,,,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4b954d0-4f9b-4e95-bab4-4ba251297235,1755,,,,3930180,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Austria,915,['f174e37f-6934-4538-8d65-f8a22b73fa30'],0,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f174e37f-6934-4538-8d65-f8a22b73fa30,1756,,,,3930180,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,76,Austria,915,['a4b954d0-4f9b-4e95-bab4-4ba251297235'],0,,,,,,,,,,,,,,,,,,Austria,915,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,1.073577,,,,,,,,,,,,,55e7df33-7a8f-4d98-9fda-c5249b7a4f93,5,,,"[61.0, 40.1]",3930180,0,,,,3.0502446,,Right Foot,,,,"[47.9, 41.3]",,Ground Pass,,13.154847,,,,Nicolas Seiwald,39460.0,,,,,Kick Off,1,From Kick Off,Marcel Sabitzer,8518.0,Center Attacking Midfield,2,Austria,915,['0dc940f7-7d3d-4dcf-bede-6e61b26b766c'],1,,,,,,,,,,,,,,,,,,Austria,915,00:00:01.688,Pass,,,,,,,61.0,40.1,47.9,41.3,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,1.626164,,,,,,,,,,,,,3b433a1b-412e-4398-9ef3-a1efdb9934e9,8,,,"[47.6, 42.0]",3930180,0,,,,-0.2939155,,Right Foot,,,,"[73.7, 34.1]",,Ground Pass,,27.269396,,Incomplete,,,,,,,,,1,From Kick Off,Nicolas Seiwald,39460.0,Right Defensive Midfield,2,Austria,915,['eb67b48e-ddf4-4197-a7b0-33b49c21645b'],3,,,,,,,,,,,,,,,,,,Austria,915,00:00:03.708,Pass,,,,,,,47.6,42.0,73.7,34.1,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,2.788011,,,,,,,,,,,,,aeb433ba-bf2f-4754-8a80-e75833fc3fd5,11,,,"[51.1, 47.4]",3930180,0,,,,0.53608304,,Right Foot,,,,"[68.1, 57.5]",,Ground Pass,,19.773973,,,,Donyell Malen,15582.0,,,,,,1,From Kick Off,Jerdy Schouten,15503.0,Center Defensive Midfield,2,Austria,915,['d0e94b79-4574-49a8-a6f1-da20c9dd4327'],6,,,,,,,,,,,,,,,,,,Netherlands,941,00:00:06.073,Pass,,,,,,,51.1,47.4,68.1,57.5,Netherlands vs Austria,Netherlands,Austria
,,,,,,,,,,,,,,,,,0.7773,,,,,,,,,,,,,54d1bc2f-b3aa-48cb-8e38-f5cac7d8fc90,15,,,"[67.6, 28.5]",3930180,0,,,,3.099065,,Right Foot,,,,"[62.9, 28.7]",,Ground Pass,,4.704253,,,,Marcel Sabitzer,8518.0,,,,,Recovery,1,From Kick Off,Patrick Wimmer,33297.0,Left Wing,2,Austria,915,['bc40a2e9-9b11-4988-b0dd-0b7ab3d995a2'],8,,,,,,,,,,,,,,,,,,Austria,915,00:00:08.861,Pass,,,,,,,67.6,28.5,62.9,28.7,Netherlands vs Austria,Netherlands,Austria
