bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,655fcf24-8a41-4e2c-813a-0f4c11962622,1,,,3930184,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 28040, 'name': 'Jindřich Staněk'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16469, 'name': 'Tomáš Holeš'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 81330, 'name': 'Robin Hranáč'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 28272, 'name': 'Ladislav Krejčí'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 16570, 'name': 'Vladimír Coufal'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 5}, {'player': {'id': 134272, 'name': 'David Jurásek'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 4870, 'name': 'Tomáš Souček'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 28034, 'name': 'Lukáš Provod'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7801, 'name': 'Antonín Barák'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 28239, 'name': 'Adam Hložek'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 32985, 'name': 'Mojmír Chytil'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]",,,,,,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,444c9104-b943-42d2-9e2a-832507cc85c1,2,,,3930184,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,,0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 30310, 'name': 'Fehmi Mert Günok'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10826, 'name': 'Mert Müldür'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 133305, 'name': 'Samet Akaydin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 23558, 'name': 'Merih Demiral'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 30438, 'name': 'Ferdi Erenay Kadıoğlu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 9085, 'name': 'Salih Özcan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 78241, 'name': 'İsmail Yüksek'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 134209, 'name': 'Barış Alper Yılmaz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 151813, 'name': 'Kenan Yildiz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 116587, 'name': 'Arda Güler'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]",,,,,,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ca4b08e9-4168-4b07-9454-769cc7f250b7,3,,,3930184,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['f2b03e5a-060f-4cd9-b309-da7b4709ba01'],0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2b03e5a-060f-4cd9-b309-da7b4709ba01,4,,,3930184,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Czech Republic,912,['ca4b08e9-4168-4b07-9454-769cc7f250b7'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,,,,,,,,,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60c5557c-4345-4c18-973f-d381347751c1,1650,,,3930184,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Turkey,909,['98afb643-9ad8-4d42-926b-20ec0b87843c'],0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,98afb643-9ad8-4d42-926b-20ec0b87843c,1651,,,3930184,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Turkey,909,['60c5557c-4345-4c18-973f-d381347751c1'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.000,Half Start,,,,,,,,,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.829151,,,,,,,,,,,,,0e9849c3-ead6-4161-86bd-ebe8bff2ffd6,5,,"[60.0, 40.0]",3930184,0,,,,,-2.844885,,Left Foot,,,"[44.3, 35.2]",,Ground Pass,,16.417368,,,,Ladislav Krejčí,28272.0,,,,Kick Off,1,From Kick Off,Antonín Barák,7801.0,Right Attacking Midfield,2,Czech Republic,912,['9026eaeb-e876-451a-a94b-b47a7f36ac88'],0,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:00.489,Pass,,,,,60.0,40.0,44.3,35.2,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.843632,,,,,,,,,,,,,6ef80aec-3ab1-4e21-b139-366e44764afc,8,,"[49.0, 36.7]",3930184,0,,,,,1.3294408,,Left Foot,,,"[55.4, 62.7]",,Ground Pass,,26.77611,,,,Tomáš Holeš,16469.0,,,,,1,From Kick Off,Ladislav Krejčí,28272.0,Left Center Back,2,Czech Republic,912,['c65aad77-83c3-4031-ada3-d9e384e58618'],3,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:03.979,Pass,,,,,49.0,36.7,55.4,62.7,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,2.646536,,,,,,,,,,,,,cb7056bf-0262-4c45-abf2-68e012dbdc21,11,,"[56.7, 69.5]",3930184,0,,,,,-0.23907427,,Right Foot,,,"[100.6, 58.8]",,High Pass,,45.185173,,Incomplete,,Mojmír Chytil,32985.0,,,,,1,From Kick Off,Tomáš Holeš,16469.0,Right Center Back,2,Czech Republic,912,"['126dfb0d-12f5-41cd-bbec-e2cd2be6ed48', 'eb42ac64-0d08-4862-8598-a0175a418504']",7,,,,,,,,,,,,,,,,,Czech Republic,912,00:00:07.939,Pass,,,,,56.7,69.5,100.6,58.8,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,2.190256,,,,,,,,,,,,,eb42ac64-0d08-4862-8598-a0175a418504,14,,"[19.5, 21.3]",3930184,0,,,,True,-1.4761434,,,,,"[21.0, 5.5]",,Low Pass,,15.871043,,,,Kenan Yildiz,151813.0,,,,Recovery,1,Regular Play,Merih Demiral,23558.0,Left Center Back,3,Turkey,909,"['994e8f96-c292-4b93-bd89-7fd45c140b85', 'cb7056bf-0262-4c45-abf2-68e012dbdc21', 'fdd05777-d32e-490a-93a8-6698c7cee14b']",10,,,,,,,,,,,,,,,,,Turkey,909,00:00:10.585,Pass,True,,,,19.5,21.3,21.0,5.5,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,0.762527,,,,,,,,,,,,,085547e4-8a92-4828-9d07-41fd5ca6ffdc,18,,"[21.6, 4.2]",3930184,0,,,,,2.2518134,,Right Foot,,,"[16.9, 10.0]",,Ground Pass,,7.465253,,,,Ferdi Erenay Kadıoğlu,30438.0,,,,,1,Regular Play,Kenan Yildiz,151813.0,Left Wing,3,Turkey,909,"['0d9fefe5-3abd-4013-9c57-cbb9bc8d57ad', '71516fa5-03ba-4417-9f7f-df614ebe3d03']",12,,,,,,,,,,,,,,,,,Turkey,909,00:00:12.836,Pass,True,,,,21.6,4.2,16.9,10.0,Czech Republic vs Turkey,Czech Republic,Turkey
,,,,,,,,,,,,,,,,,,1.625384,,,,,,,,,,,,,eb68ba8b-902c-44e1-8595-6b17db67dbeb,21,,"[15.0, 10.6]",3930184,0,,,,,0.42877802,,Right Foot,,,"[32.5, 18.6]",,High Pass,,19.241882,,Incomplete,,,,,,,,1,Regular Play,Ferdi Erenay Kadıoğlu,30438.0,Left Back,3,Turkey,909,"['7372dd05-28b0-42b4-b32b-0007ba7493bd', 'e6139ad9-ce0b-47ef-bb00-f0b574b44cbf']",13,,,,,,,,,,,,,,,,,Turkey,909,00:00:13.598,Pass,True,,,,15.0,10.6,32.5,18.6,Czech Republic vs Turkey,Czech Republic,Turkey
