50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d0b211ec-def3-4791-934f-421eea7cad77,1,,,,3938638,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Romania,905,,0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Starting XI,,4141.0,"[{'player': {'id': 28242, 'name': 'Florin Constantin Niţă'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24861, 'name': 'Andrei Florin Ratiu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 39615, 'name': 'Radu Drăgușin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31908, 'name': 'Andrei Burcă Andonie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 34600, 'name': 'Nicușor Silviu Bancu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 30913, 'name': 'Marius Mihai Marin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 56905, 'name': 'Dennis Man'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 16344, 'name': 'Răzvan Gabriel Marin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10916, 'name': 'Nicolae Claudiu Stanciu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 34599, 'name': 'Florinel Teodor Coman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 31193, 'name': 'Denis Mihai Drăguş'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]",,,,,,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4a0cb01c-8a12-49ea-88c0-a8d0f5437064,2,,,,3938638,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Romania,905,,0,,,,,,,,,,,,,,,,Ukraine,911,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 21390, 'name': 'Andriy Lunin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 45785, 'name': 'Yukhym Konoplya'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 39136, 'name': 'Illia Zabarnyi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 18617, 'name': 'Mykola Matvienko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3575, 'name': 'Oleksandr Zinchenko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 21294, 'name': 'Mykola Shaparenko'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 11000, 'name': 'Taras Stepanenko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 16509, 'name': 'Viktor Tsygankov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 38975, 'name': 'Georgiy Sudakov'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 39483, 'name': 'Mykhailo Mudryk'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 25079, 'name': 'Artem Dovbyk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]",,,,,,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,56dc5318-2e9a-424b-bd85-f5a076b9d620,3,,,,3938638,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Romania,905,['b8c993f8-03d0-4527-8477-83f8987fa827'],0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b8c993f8-03d0-4527-8477-83f8987fa827,4,,,,3938638,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Romania,905,['56dc5318-2e9a-424b-bd85-f5a076b9d620'],0,,,,,,,,,,,,,,,,Ukraine,911,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,33fa9132-5637-4ca0-a6b9-80f1d65e444f,1740,,,,3938638,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,74,Romania,905,['9096165c-a316-4693-b921-ea401cff23eb'],0,,,,,,,,,,,,,,,,Ukraine,911,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9096165c-a316-4693-b921-ea401cff23eb,1741,,,,3938638,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,74,Romania,905,['33fa9132-5637-4ca0-a6b9-80f1d65e444f'],0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.98929,,,,,,,,,,,ca616d33-9342-41d9-8167-e4d05d39c22f,5,,,"[60.0, 40.0]",3938638,0,,,,-2.9904366,,Left Foot,,,,"[44.9, 37.7]",,Ground Pass,,15.274161,,,Taras Stepanenko,11000.0,,,,,Kick Off,1,From Kick Off,Artem Dovbyk,25079.0,Center Forward,2,Ukraine,911,['d3fcd97c-74d1-4709-bbd9-c2889cc68580'],0,,,,,,,,,,,,,,,,Ukraine,911,00:00:00.917,Pass,,,,,,,60.0,40.0,44.9,37.7,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,1.893617,,,,,,,,,,,ece9525a-9ece-4b00-93e6-08a187c6811d,8,,,"[45.9, 37.7]",3938638,0,,,,-2.827842,,Left Foot,,,,"[27.1, 31.6]",,Ground Pass,,19.764868,,,Mykola Matvienko,18617.0,,,,,,1,From Kick Off,Taras Stepanenko,11000.0,Left Defensive Midfield,2,Ukraine,911,['1fa3df43-c922-4a10-9642-8330976d7fe2'],2,,,,,,,,,,,,,,,,Ukraine,911,00:00:02.664,Pass,,,,,,,45.9,37.7,27.1,31.6,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,1.387728,,,,,,,,,,,78c074df-d790-4e72-a6a8-8206d05aeaf9,11,,,"[30.1, 31.6]",3938638,0,,,,1.8221934,,Left Foot,,,,"[25.4, 49.9]",,Ground Pass,,18.893915,,,Illia Zabarnyi,39136.0,,,,,,1,From Kick Off,Mykola Matvienko,18617.0,Left Center Back,2,Ukraine,911,['d4c7e48e-318a-4530-ae72-1556ad791b2d'],5,,,,,,,,,,,,,,,,Ukraine,911,00:00:05.261,Pass,,,,,,,30.1,31.6,25.4,49.9,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,1.754054,,,,,,,,,,,31d56eb6-5992-4a7b-9f11-9ec6c2fcf3e3,14,,,"[26.9, 49.9]",3938638,0,,,,-1.4296644,,Right Foot,,,,"[29.5, 31.6]",,Ground Pass,,18.483776,,,Mykola Matvienko,18617.0,,,,,,1,From Kick Off,Illia Zabarnyi,39136.0,Right Center Back,2,Ukraine,911,['e4e04d69-0917-43db-8305-49e5c659dd8b'],9,,,,,,,,,,,,,,,,Ukraine,911,00:00:09.576,Pass,,,,,,,26.9,49.9,29.5,31.6,Romania vs Ukraine,Romania,Ukraine
