50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bdd9256c-ebdc-4a2f-9946-e3673c2f8b26,1,,,,3938639,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 30310, 'name': 'Fehmi Mert Günok'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10826, 'name': 'Mert Müldür'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 133305, 'name': 'Samet Akaydin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 48383, 'name': 'Abdülkerim Bardakcı'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 30438, 'name': 'Ferdi Erenay Kadıoğlu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 12293, 'name': 'Kaan Ayhan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 116587, 'name': 'Arda Güler'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 22212, 'name': 'Orkun Kökçü'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 151813, 'name': 'Kenan Yildiz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 134209, 'name': 'Barış Alper Yılmaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]",,,,,,,,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6a6bcde9-bb8c-42a9-ab36-0fc7f289dd80,2,,,,3938639,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,,0,,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 102371, 'name': 'Giorgi Mamardashvili'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 16005, 'name': 'Solomon Kverkvelia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7839, 'name': 'Guram Kashia'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 7655, 'name': 'Lasha Dvali'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25036, 'name': 'Otar Kakabadze'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 22242, 'name': 'Heorhii Tsitaishvili'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 264017, 'name': 'Anzor Mekvabishvili'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 23646, 'name': 'Giorgi Chakvetadze'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 41202, 'name': 'Giorgi Kochorashvili'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 33234, 'name': 'Georges Mikautadze'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 38229, 'name': 'Khvicha Kvaratskhelia'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]",,,,,,,,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ee249fe6-7de9-4e0f-9b13-baf0822f5f77,3,,,,3938639,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['b017db95-449e-4ad3-b7af-362d5231cbaf'],0,,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b017db95-449e-4ad3-b7af-362d5231cbaf,4,,,,3938639,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Turkey,909,['ee249fe6-7de9-4e0f-9b13-baf0822f5f77'],0,,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,,,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e92155cb-7205-4069-a3fe-64ed57f57c5d,1965,,,,3938639,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,Turkey,909,['bf990d58-7c7e-4e23-bf1c-6e1be1d64996'],0,,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,,,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bf990d58-7c7e-4e23-bf1c-6e1be1d64996,1966,,,,3938639,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,Turkey,909,['e92155cb-7205-4069-a3fe-64ed57f57c5d'],0,,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,0.97636,,,,,,,,,,,dd3133a8-e6de-4789-bb63-cd057dea9812,5,,,"[60.0, 40.0]",3938639,0,,,,,-2.4648557,,Right Foot,,,"[53.9, 35.1]",,Ground Pass,,7.8243213,,,,Giorgi Kochorashvili,41202.0,,,,,Kick Off,1,From Kick Off,Georges Mikautadze,33234.0,Right Center Forward,2,Georgia,2138,['425db95f-d730-4e0b-9976-d6ca509f4ffd'],0,,,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.838,Pass,,,,,,,60.0,40.0,53.9,35.1,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,1.849699,,,,,,,,,,,ff77ba8f-fe15-444b-a0fa-2f89238480b6,8,,,"[53.9, 34.9]",3938639,0,,,,,-1.5769124,,Right Foot,,,"[53.7, 2.2]",,Ground Pass,,32.70061,,,,Heorhii Tsitaishvili,22242.0,,,,,,1,From Kick Off,Giorgi Kochorashvili,41202.0,Left Center Midfield,2,Georgia,2138,['373e7e3c-fa37-4bd6-b424-640affc6ef7e'],2,,,,,,,,,,,,,,,,,,Georgia,2138,00:00:02.586,Pass,,,,,,,53.9,34.9,53.7,2.2,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,1.461033,,,,,,,,,,,20b79e7d-d7bf-4272-bf0f-3afb929a030c,11,,,"[57.8, 1.6]",3938639,0,,,,,3.0138013,,Left Foot,,,"[39.9, 3.9]",,Ground Pass,,18.047161,,,,Lasha Dvali,7655.0,,,,,,1,From Kick Off,Heorhii Tsitaishvili,22242.0,Left Wing Back,2,Georgia,2138,['c9da5060-7d44-42d7-bec3-4bda147f4700'],7,,,,,,,,,,,,,,,,,,Georgia,2138,00:00:07.499,Pass,,,,,,,57.8,1.6,39.9,3.9,Turkey vs Georgia,Turkey,Georgia
,,,,,,,,,,,,,,,,,,2.166077,,,,,,,,,,,01b21021-4fb5-46f8-bf34-fe00aa2e0c0c,14,,,"[39.9, 3.9]",3938639,0,,,,,1.849096,,Left Foot,,,"[34.9, 21.4]",,Ground Pass,,18.200275,,,,Guram Kashia,7839.0,,,,,,1,From Kick Off,Lasha Dvali,7655.0,Left Center Back,2,Georgia,2138,['9db23df0-e248-49ba-84b4-2e059359476b'],10,,,,,,,,,,,,,,,,,,Georgia,2138,00:00:10.153,Pass,,,,,,,39.9,3.9,34.9,21.4,Turkey vs Georgia,Turkey,Georgia
