50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ff1a5282-51fc-4652-bc37-1b64088e67b2,1,,,,3938644,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,,0,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Starting XI,,352.0,"[{'player': {'id': 102371, 'name': 'Giorgi Mamardashvili'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 398886, 'name': 'Giorgi Gvelesiani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7839, 'name': 'Guram Kashia'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 7655, 'name': 'Lasha Dvali'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25036, 'name': 'Otar Kakabadze'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 48178, 'name': 'Luka Lochoshvili'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 11335, 'name': 'Otar Kiteishvili'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 23646, 'name': 'Giorgi Chakvetadze'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 41202, 'name': 'Giorgi Kochorashvili'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 33234, 'name': 'Georges Mikautadze'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 38229, 'name': 'Khvicha Kvaratskhelia'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]",,,,,,,,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5687b379-3649-472c-abcd-86189ef3f12a,2,,,,3938644,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,,0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 32975, 'name': 'Diogo Meireles Costa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 143854, 'name': 'António João Pereira Albuquerque Tavares Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 13}, {'player': {'id': 42106, 'name': 'Gonçalo Bernardo Inácio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 16028, 'name': 'José Diogo Dalot Teixeira'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 5}, {'player': {'id': 23256, 'name': 'Pedro Lomba Neto'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 143859, 'name': 'João Neves'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 12169, 'name': 'João Maria Lobo Alves Palhinha Gonçalves'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 39624, 'name': 'Francisco Fernandes Conceição'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 12041, 'name': 'João Félix Sequeira'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,153f66b8-a970-46e9-ae3e-be0c3adb9910,3,,,,3938644,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,['7c5b25ca-beb2-4094-94cc-6db8c7c0205b'],0,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7c5b25ca-beb2-4094-94cc-6db8c7c0205b,4,,,,3938644,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Georgia,2138,['153f66b8-a970-46e9-ae3e-be0c3adb9910'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a841d838-fa0c-478e-83d8-4ebc0d0915bc,2039,,,,3938644,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Portugal,780,['fe10c865-011b-4179-a0a5-f4ef7d3f3f70'],0,,,,,,,,,,,,,,,,Georgia,2138,00:00:00.000,Half Start,,,,,,,,,,,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fe10c865-011b-4179-a0a5-f4ef7d3f3f70,2040,,,,3938644,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Portugal,780,['a841d838-fa0c-478e-83d8-4ebc0d0915bc'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.600293,,,,,,,,,,,,,,,cfb45c51-8dbd-4a93-bba1-b4c9e5073ca4,5,,,"[61.0, 40.1]",3938644,0,,,,-2.608949,,Right Foot,,,"[42.0, 28.9]",,Ground Pass,,22.055386,,,Gonçalo Bernardo Inácio,42106.0,,,,,,Kick Off,1,From Kick Off,João Neves,143859.0,Right Defensive Midfield,2,Portugal,780,['d723c08c-fb7d-4c85-95bd-2b662bd45f35'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.905,Pass,,,,,,,61.0,40.1,42.0,28.9,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,2.991699,,,,,,,,,,,,,,,8b3f0c76-c1cd-4132-baa5-a1541e563db5,8,,,"[43.7, 28.9]",3938644,0,,,,0.536122,,Left Foot,,,"[88.3, 55.4]",,High Pass,,51.8788,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,,1,From Kick Off,Gonçalo Bernardo Inácio,42106.0,Left Center Back,2,Portugal,780,"['5490ce1b-d1bc-4100-b21b-c3d18820eee0', 'a5e5cd84-4219-4c59-bcd7-1de5083d7d62']",3,,,,,,,,,,,,,,,,Portugal,780,00:00:03.722,Pass,,,,,,,43.7,28.9,88.3,55.4,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,1.123339,,,,,,,,,,,,,,,a5e5cd84-4219-4c59-bcd7-1de5083d7d62,10,,,"[31.8, 24.7]",3938644,0,,,,-0.031635012,,Head,,,"[47.6, 24.2]",,High Pass,,15.807909,,,Khvicha Kvaratskhelia,38229.0,,,,,,Recovery,1,Regular Play,Guram Kashia,7839.0,Center Back,3,Georgia,2138,"['132a102d-44ba-4c62-b81c-e59ae120c315', '8b3f0c76-c1cd-4132-baa5-a1541e563db5']",6,,,,,,,,,,,,,,,,Georgia,2138,00:00:06.714,Pass,,,,,,,31.8,24.7,47.6,24.2,Georgia vs Portugal,Georgia,Portugal
,,,,,,,,,,,,,,,,,,,0.521251,,,,,,,,,,,,,,,a7c7bc6c-c9cd-4223-ad3a-45a506a38dd4,13,,,"[47.7, 24.7]",3938644,0,,,,3.069429,,Right Foot,,,"[39.4, 25.3]",,Ground Pass,,8.321658,,,Otar Kiteishvili,11335.0,,,,,,,1,Regular Play,Khvicha Kvaratskhelia,38229.0,Left Center Forward,3,Georgia,2138,['2aa5b577-3e62-46d8-8e60-ace9a7d63014'],7,,,,,,,,,,,,,,,,Georgia,2138,00:00:07.910,Pass,,,,,,,47.7,24.7,39.4,25.3,Georgia vs Portugal,Georgia,Portugal
