50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f8dfb172-93ce-4787-9601-0eb2cc2b927b,1,,,,3940983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 24118, 'name': 'Nico Schlotterbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 12034, 'name': 'David Raum'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0d2c9d62-af8b-49bd-a91b-20ab2c927a67,2,,,,3940983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,,0,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Starting XI,,3421.0,"[{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8247, 'name': 'Joachim Andersen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 24547, 'name': 'Alexander Hartmann Bah'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 5}, {'player': {'id': 3570, 'name': 'Pierre-Emile Højbjerg'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 5527, 'name': 'Thomas Delaney'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 17042, 'name': 'Andreas Skov Olsen'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 3043, 'name': 'Christian Dannemann Eriksen'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 51672, 'name': 'Rasmus Winther Højlund'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]",,,,,,,,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d326943-ffba-47af-8997-5a1339f44d6b,3,,,,3940983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['e7688f37-1704-4253-ac01-c768e044d779'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e7688f37-1704-4253-ac01-c768e044d779,4,,,,3940983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Germany,770,['6d326943-ffba-47af-8997-5a1339f44d6b'],0,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,,,,,,,,,,,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,503a7df3-cf85-4970-9ddd-cd39e7463efe,1935,,,,3940983,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,82,Germany,770,['82413e14-d8d0-43dd-ab21-b1ad7d3f9e75'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,,,,,,,,,,,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,82413e14-d8d0-43dd-ab21-b1ad7d3f9e75,1936,,,,3940983,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,82,Germany,770,['503a7df3-cf85-4970-9ddd-cd39e7463efe'],0,,,,,,,,,,,,,,,,Denmark,776,00:00:00.000,Half Start,,,,,,,,,,,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.386803,,,,,,,,,,,,be7d38eb-173d-469a-b22b-2e6fb9e03c71,5,,,"[61.0, 40.1]",3940983,0,,,,,2.4374485,,Left Foot,,,"[44.4, 54.2]",,Ground Pass,,21.780037,,,,Joshua Kimmich,5579.0,,,,,Kick Off,1,From Kick Off,Leroy Sané,3053.0,Right Wing,2,Germany,770,['ed70d540-dbbd-4e39-8d15-6cc2fa6ddd64'],0,,,,,,,,,,,,,,,,Germany,770,00:00:00.546,Pass,,,,,,,61.0,40.1,44.4,54.2,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,36eb3263-9fef-4f57-8faf-4d65a7150d9b,8,,,"[49.7, 57.0]",3940983,0,,,,,0.88612,,Left Foot,,,"[66.6, 77.7]",,Ground Pass,,26.722649,,,,Jamal Musiala,39565.0,,,,,,1,From Kick Off,Joshua Kimmich,5579.0,Right Back,2,Germany,770,['9f1519ae-4da2-4529-b63e-0d134adebe00'],3,,,,,,,,,,,,,,,,Germany,770,00:00:03.215,Pass,,,,,,,49.7,57.0,66.6,77.7,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,2.094227,,,,,,,,,,,,006bbc17-98a4-458a-ba3f-79a284715ce4,11,,,"[69.8, 78.4]",3940983,0,,,,,-0.42015064,,Right Foot,,,"[108.3, 61.2]",,Ground Pass,,42.167404,,,,Leroy Sané,3053.0,,,,,,1,From Kick Off,Jamal Musiala,39565.0,Left Wing,2,Germany,770,['6c0a5b77-6f4b-43dd-bb8d-1fd8c838d858'],5,,,,,,,,,,,,,,,,Germany,770,00:00:05.823,Pass,,,,,,,69.8,78.4,108.3,61.2,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.888087,,,,,,,,,,,,7417fc6f-ae39-4456-a687-51f4c7cf4e3e,15,,,"[117.8, 59.2]",3940983,0,,,,,-1.6169175,,Right Foot,True,,"[117.2, 46.2]",,Low Pass,,13.013839,,Incomplete,,İlkay Gündoğan,10287.0,,,,,,1,From Kick Off,Leroy Sané,3053.0,Right Wing,2,Germany,770,"['1ba3bc2e-aa6e-43e3-a266-5facf6d60329', '3a99c4ca-6ff9-4da9-a710-9247da9082b5']",9,,,,,,,,,,,,,,,,Germany,770,00:00:09.992,Pass,,,,,,,117.8,59.2,117.2,46.2,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.933148,,,,,,,,,,,,84cbf1a6-5189-4586-92dc-644f45ddea87,18,,,"[81.1, 80.0]",3940983,0,,,,,-2.6155262,,,,,"[62.5, 69.2]",,Low Pass,,21.508139,,,,Antonio Rüdiger,3167.0,,,,,Throw-in,1,From Throw In,Joshua Kimmich,5579.0,Right Back,3,Germany,770,['0348f7f1-f75f-49d2-9758-64e5c0e997d8'],19,,,,,,,,,,,,,,,,Germany,770,00:00:19.093,Pass,,,,,,,81.1,80.0,62.5,69.2,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.199998,,,,,,,,,,,,a3bd4458-fce9-4df3-8771-82e12d442d53,21,,,"[60.9, 64.5]",3940983,0,,,,,-1.816957,,Right Foot,,,"[55.9, 44.6]",,Ground Pass,,20.518528,,,,Nico Schlotterbeck,24118.0,,,,,,1,From Throw In,Antonio Rüdiger,3167.0,Right Center Back,3,Germany,770,['8148221f-d130-4c59-bb42-0046fc58aa43'],22,,,,,,,,,,,,,,,,Germany,770,00:00:22.827,Pass,,,,,,,60.9,64.5,55.9,44.6,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.931999,,,,,,,,,,,,d04594b5-cd23-4747-a508-a5663a8f2c96,25,,,"[58.7, 39.6]",3940983,0,,,,,-2.2260923,,Right Foot,,,"[49.4, 27.5]",,Ground Pass,,15.261062,,,,Toni Kroos,5574.0,,,,,,1,From Throw In,Nico Schlotterbeck,24118.0,Left Center Back,3,Germany,770,"['7567af8f-16bf-44e0-af3b-052c60ce9936', 'f00e3eba-c2ab-48fa-8d08-a8a88c758ca2']",26,,,,,,,,,,,,,,,,Germany,770,00:00:26.094,Pass,True,,,,,,58.7,39.6,49.4,27.5,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,2.5028,,,,,,,,,,,,bff8ff0a-062b-4152-8c18-b7094bacfdcd,29,,,"[39.1, 31.9]",3940983,0,,,,,2.7806232,,Right Foot,,,"[14.2, 41.3]",,Ground Pass,,26.615221,,,,Manuel Neuer,5570.0,,,,,,1,From Throw In,Toni Kroos,5574.0,Left Defensive Midfield,3,Germany,770,"['4f9cbe80-9424-40bb-824a-262426e713b0', 'db1d08c1-a5a8-4b7f-a8f3-6d7113c4be5f']",29,,,,,,,,,,,,,,,,Germany,770,00:00:29.726,Pass,True,,,,,,39.1,31.9,14.2,41.3,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,2.241059,,,,,,,,,,,,928b712a-0e9b-4b2f-af8d-16f867763792,33,,,"[15.1, 45.5]",3940983,0,,,,,0.5608796,,Right Foot,,,"[58.4, 72.7]",,High Pass,,51.13443,,Incomplete,,Leroy Sané,3053.0,,,,,,1,From Throw In,Manuel Neuer,5570.0,Goalkeeper,3,Germany,770,"['51cdd659-a1b3-48a5-8931-86ade4e9d75e', 'bfe0ebf6-b2c7-477f-8064-dc4049dde88a', 'e8ba4eb1-1434-40e0-a7e8-a08a29f3d5a5']",34,,,,,,,,,,,,,,,,Germany,770,00:00:34.263,Pass,True,,,,,,15.1,45.5,58.4,72.7,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.912007,,,,,,,,,,,,51cdd659-a1b3-48a5-8931-86ade4e9d75e,36,,,"[61.7, 7.4]",3940983,0,,,,True,0.8688162,,,,,"[75.4, 23.6]",,High Pass,,21.216267,,Incomplete,,Pierre-Emile Højbjerg,3570.0,,,,,Recovery,1,From Throw In,Joakim Mæhle,16554.0,Left Wing Back,3,Germany,770,"['001a372c-378b-4bad-b947-e6dc7688b6e1', '928b712a-0e9b-4b2f-af8d-16f867763792', '941cc09e-5cfe-4245-a686-aa98b1f5cbc1', 'be6e5eb7-3d96-4715-8a0d-561d6175b72a']",36,,,,,,,,,,,,,,,,Denmark,776,00:00:36.504,Pass,True,,,,,,61.7,7.4,75.4,23.6,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.515616,,,,,,,,,,,,be6e5eb7-3d96-4715-8a0d-561d6175b72a,38,,,"[44.7, 56.5]",3940983,0,,,,,-1.815775,,Head,,,"[40.2, 38.5]",,High Pass,,18.553976,,,,Nico Schlotterbeck,24118.0,,,,,Recovery,1,From Throw In,Robert Andrich,9195.0,Right Defensive Midfield,3,Germany,770,"['0ccf6958-e5d9-435b-9b63-bf4f522623f4', '51cdd659-a1b3-48a5-8931-86ade4e9d75e']",38,,,,,,,,,,,,,,,,Germany,770,00:00:38.416,Pass,,,,,,,44.7,56.5,40.2,38.5,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.148825,,,,,,,,,,,,1d9d59f1-1a13-4642-8ea9-756afa615922,40,,,"[40.5, 39.6]",3940983,0,,,,,0.28255495,,Head,,,"[52.9, 43.2]",,High Pass,,12.91201,,,,İlkay Gündoğan,10287.0,,,,,,1,From Throw In,Nico Schlotterbeck,24118.0,Left Center Back,3,Germany,770,['78749c7c-6040-4240-b120-4c72a7aa7043'],40,,,,,,,,,,,,,,,,Germany,770,00:00:40.028,Pass,,,,,,,40.5,39.6,52.9,43.2,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.896738,,,,,,,,,,,,53d1aa80-887c-4498-bb02-926305ea2406,42,,,"[52.9, 43.2]",3940983,0,,,,,-1.9455425,,Head,,,"[41.1, 13.2]",,High Pass,,32.237244,,,,David Raum,12034.0,,,,,,1,From Throw In,İlkay Gündoğan,10287.0,Center Attacking Midfield,3,Germany,770,['21cac04e-036e-4f9a-bbf9-30c8593a74d5'],41,,,,,,,,,,,,,,,,Germany,770,00:00:41.217,Pass,,,,,,,52.9,43.2,41.1,13.2,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.84087,,,,,,,,,,,,93cc26e9-96a4-4e7d-b531-ec02ec2ded92,45,,,"[44.1, 16.2]",3940983,0,,,,,1.3344233,,Left Foot,,,"[47.4, 29.9]",,Ground Pass,,14.091842,,,,Toni Kroos,5574.0,,,,,,1,From Throw In,David Raum,12034.0,Left Back,3,Germany,770,['f5934855-162d-4911-b3c5-0b0dd6c8d6d2'],44,,,,,,,,,,,,,,,,Germany,770,00:00:44.234,Pass,,,,,,,44.1,16.2,47.4,29.9,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.387838,,,,,,,,,,,,1637d75f-d2d6-4798-b960-7d50d436378d,49,,,"[47.9, 26.6]",3940983,0,,,,,2.9669204,,Right Foot,,,"[29.2, 29.9]",,Ground Pass,,18.988945,,,,Nico Schlotterbeck,24118.0,,,,,,1,From Throw In,Toni Kroos,5574.0,Left Defensive Midfield,3,Germany,770,"['047e5f6e-87df-49e8-867d-c7779f7cb7f3', 'b67c6b7d-7ed7-40a5-a948-f0299a8514c2']",45,,,,,,,,,,,,,,,,Germany,770,00:00:45.880,Pass,True,,,,,,47.9,26.6,29.2,29.9,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.029874,,,,,,,,,,,,187aa49f-a398-496f-a30e-b04f002e9f24,52,,,"[30.0, 30.2]",3940983,0,,,,,0.89854914,,Left Foot,,,"[41.7, 44.9]",,Ground Pass,,18.787762,,,,Robert Andrich,9195.0,,,,,,1,From Throw In,Nico Schlotterbeck,24118.0,Left Center Back,3,Germany,770,['a8fa0d22-b484-42ae-9571-4427eacdf1f2'],48,,,,,,,,,,,,,,,,Germany,770,00:00:48.522,Pass,,,,,,,30.0,30.2,41.7,44.9,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.273191,,,,,,,,,,,,080c8051-c873-43e6-a316-d799b272b2f1,55,,,"[41.7, 44.9]",3940983,0,,,,,-1.5707964,,Right Foot,,,"[41.7, 26.9]",,Ground Pass,,18.0,,,,Toni Kroos,5574.0,,,,,,1,From Throw In,Robert Andrich,9195.0,Right Defensive Midfield,3,Germany,770,['ce46f33f-2831-4682-a004-360396d057dd'],50,,,,,,,,,,,,,,,,Germany,770,00:00:50.596,Pass,,,,,,,41.7,44.9,41.7,26.9,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.110521,,,,,,,,,,,,b01f1dfd-76e4-402c-ae06-8a050e1b5f8a,58,,,"[39.4, 25.0]",3940983,0,,,,,0.16977827,,Right Foot,,,"[42.9, 25.6]",,Ground Pass,,3.5510561,,Incomplete,,Jamal Musiala,39565.0,,,,,,1,From Throw In,Toni Kroos,5574.0,Left Defensive Midfield,3,Germany,770,"['07e4690d-f453-4499-a04f-b95c636977e6', '1e7e1e1d-397b-427f-8577-8e74ad8df370']",52,,,,,,,,,,,,,,,,Germany,770,00:00:52.795,Pass,,,,,,,39.4,25.0,42.9,25.6,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,1.887248,,,,,,,,,,,,6b68a18c-4626-4bd3-bd74-33b68bbb12f4,62,,,"[54.0, 51.8]",3940983,0,,,,,1.2895641,,Left Foot,,,"[57.9, 65.3]",,High Pass,,14.052046,,Incomplete,,Andreas Skov Olsen,17042.0,,,,,Recovery,1,From Throw In,Thomas Delaney,5527.0,Left Defensive Midfield,3,Germany,770,"['00c72e95-baa7-4569-80ca-d82ce266b73b', '37e2bc2a-8ae9-4171-b3f5-8c0179da6446', '69e31562-b8a7-4f8e-8a9c-31b538e99ab7']",55,,,,,,,,,,,,,,,,Denmark,776,00:00:55.402,Pass,True,,,,,,54.0,51.8,57.9,65.3,Germany vs Denmark,Germany,Denmark
,,,,,,,,,,,,,,,,0.838626,,,,,,,,,,,,00c72e95-baa7-4569-80ca-d82ce266b73b,64,,,"[62.2, 14.8]",3940983,0,,,,,1.0135008,,Head,,,"[70.8, 28.6]",,Low Pass,,16.260382,,Incomplete,,Kai Havertz,8966.0,,,,,Recovery,1,From Throw In,David Raum,12034.0,Left Back,3,Germany,770,"['6b68a18c-4626-4bd3-bd74-33b68bbb12f4', 'c61edbe6-726f-4280-9c25-d62d9e40e803', 'e5ca08be-4630-4ec2-9403-03d601941082']",57,,,,,,,,,,,,,,,,Germany,770,00:00:57.289,Pass,,,,,,,62.2,14.8,70.8,28.6,Germany vs Denmark,Germany,Denmark
