50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,48384bcf-b70e-41d7-9a77-fbd9bd89f74c,1,,,3941021,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Romania,905,,0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Starting XI,,4141.0,"[{'player': {'id': 28242, 'name': 'Florin Constantin Niţă'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24861, 'name': 'Andrei Florin Ratiu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 39615, 'name': 'Radu Drăgușin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 31908, 'name': 'Andrei Burcă Andonie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30839, 'name': 'Vasile Mogoș'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 30913, 'name': 'Marius Mihai Marin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 56905, 'name': 'Dennis Man'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 16344, 'name': 'Răzvan Gabriel Marin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10916, 'name': 'Nicolae Claudiu Stanciu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 28565, 'name': 'Ianis Hagi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 31193, 'name': 'Denis Mihai Drăguş'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]",,,,,,,,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b5efd763-e4de-432e-941e-c6b850723007,2,,,3941021,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Romania,905,,0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8259, 'name': 'Steven Bergwijn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a04c375d-8b61-4828-b916-05daae45aba4,3,,,3941021,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Romania,905,['d0e15818-65ee-451b-8181-b0da766feaed'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d0e15818-65ee-451b-8181-b0da766feaed,4,,,3941021,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Romania,905,['a04c375d-8b61-4828-b916-05daae45aba4'],0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7e91c760-841c-4253-9af8-25588d219a04,1537,,,3941021,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,,75,Romania,905,['022d1e45-d202-45e0-9fa3-df865c2e79cd'],0,,,,,,,,,,,,,,,,Romania,905,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,022d1e45-d202-45e0-9fa3-df865c2e79cd,1538,,,3941021,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,,75,Romania,905,['7e91c760-841c-4253-9af8-25588d219a04'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.575442,,,,,,,,,,,,d195f94d-a9eb-4816-9fbd-b1ff17a6a133,5,,"[60.0, 40.0]",3941021,0,,,,-3.1104915,,Right Foot,,,,"[37.5, 39.3]",,Ground Pass,,22.510887,,,,Stefan de Vrij,7787.0,,,,,Kick Off,1,From Kick Off,Memphis Depay,2988.0,,Center Forward,2,Netherlands,941,['b472c466-0db5-4abc-be39-dbcb9d6f6300'],0,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.313,Pass,,,,,,,60.0,40.0,37.5,39.3,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,3.10207,,,,,,,,,,,,3e102823-a0ab-4f8e-b3eb-877820aaa332,8,,"[39.6, 39.3]",3941021,0,,,,-0.523547,,Right Foot,,,,"[93.3, 8.3]",,High Pass,,62.005566,,,,Cody Mathès Gakpo,20750.0,,,,,,1,From Kick Off,Stefan de Vrij,7787.0,,Right Center Back,2,Netherlands,941,['1b4272ee-0692-4825-a03a-6cba497cca15'],3,,,,,,,,,,,,,,,,Netherlands,941,00:00:03.407,Pass,,,,,,,39.6,39.3,93.3,8.3,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,2.599007,,,,,,,,,,,,0d8c1284-cf7d-47ca-9196-3ca784a1f3dc,11,,"[93.3, 8.3]",3941021,0,,,True,0.42562246,,,,,,"[115.8, 18.5]",,Low Pass,,24.704048,,,,Memphis Depay,2988.0,,,,,,1,From Kick Off,Cody Mathès Gakpo,20750.0,,Left Wing,2,Netherlands,941,"['cb26e5eb-9847-4e0a-9c7c-a92f7138fc0b', 'e78f38c3-c7ad-4833-af2d-7c74993e44ba']",6,,,,,,,,,,,,,,,,Netherlands,941,00:00:06.509,Pass,True,,,,,,93.3,8.3,115.8,18.5,Romania vs Netherlands,Romania,Netherlands
,,,,,,,,,,,,,,,,,,1.191267,,,,,,,,,,,,1b8da5b4-a6b6-4110-aa8e-2beae73f5886,15,,"[116.6, 18.5]",3941021,0,,,,-1.359703,,Right Foot,,,,"[117.5, 14.3]",,Ground Pass,,4.2953463,,,,Xavi Simons,39167.0,,,,,,1,From Kick Off,Memphis Depay,2988.0,,Center Forward,2,Netherlands,941,['ce198eed-8e4b-48fb-8476-8ea2a0ef70c3'],9,,,,,,,,,,,,,,,,Netherlands,941,00:00:09.689,Pass,,,,,,,116.6,18.5,117.5,14.3,Romania vs Netherlands,Romania,Netherlands
