50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,65fc64f9-84a1-4a96-9fce-b773a8467f70,1,,,,3942349,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Starting XI,,4411.0,"[{'player': {'id': 32975, 'name': 'Diogo Meireles Costa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5206, 'name': 'Rúben Santos Gato Alves Dias'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 12169, 'name': 'João Maria Lobo Alves Palhinha Gonçalves'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 18360, 'name': 'Rafael Alexandre Conceição Leão'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fe10b912-d7a5-4bbf-815e-b6ce870079bf,2,,,,3942349,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,,0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Starting XI,,41212.0,"[{'player': {'id': 3761, 'name': 'Mike Maignan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4445, 'name': 'Jules Koundé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 17592, 'name': 'William Saliba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 6704, 'name': 'Theo Bernard François Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3961, 'name': ""N'Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 24778, 'name': 'Eduardo Camavinga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 22097, 'name': 'Randal Kolo Muani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]",,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2294fd5e-ff4c-4049-b528-a951e5f5c2d7,3,,,,3942349,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['0932b6b7-6cad-4fd8-afaf-14161a11ac04'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0932b6b7-6cad-4fd8-afaf-14161a11ac04,4,,,,3942349,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Portugal,780,['2294fd5e-ff4c-4049-b528-a951e5f5c2d7'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4ec5671d-8304-4e95-a1b5-3593d1748dfa,1956,,,,3942349,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,65,France,771,['a3c914d8-0ba1-4094-bc1a-7df474900306'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a3c914d8-0ba1-4094-bc1a-7df474900306,1957,,,,3942349,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,65,France,771,['4ec5671d-8304-4e95-a1b5-3593d1748dfa'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,60e28e3e-9197-49c2-adff-2876609a041a,3836,,,,3942349,90,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Keeper,,,,133,Portugal,780,['2563dac8-1565-4a02-a93e-60845e4049a3'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2563dac8-1565-4a02-a93e-60845e4049a3,3837,,,,3942349,90,,,,,,,,,,,,,,,,,,,,,,,,,,3,From Keeper,,,,133,Portugal,780,['60e28e3e-9197-49c2-adff-2876609a041a'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,63d38e92-c444-414c-9baf-2dc5113afd32,4569,,,,3942349,105,,,,,,,,,,,,,,,,,,,,,,,,,,4,From Goal Kick,,,,150,France,771,['8b96d218-650b-45cb-9540-a8ea8f418b3f'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8b96d218-650b-45cb-9540-a8ea8f418b3f,4570,,,,3942349,105,,,,,,,,,,,,,,,,,,,,,,,,,,4,From Goal Kick,,,,150,France,771,['63d38e92-c444-414c-9baf-2dc5113afd32'],0,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,,,,,,,,,,,Portugal vs France,Portugal,France
