50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1e45a8f4-483f-4347-92f5-9ccd0fa7bb2b,1,,,,3942382,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 37274, 'name': 'Bart Verbruggen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8125, 'name': 'Denzel Dumfries'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 7787, 'name': 'Stefan de Vrij'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 3669, 'name': 'Virgil van Dijk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3306, 'name': 'Nathan Aké'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 15503, 'name': 'Jerdy Schouten'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 21582, 'name': 'Tijjani Reijnders'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8259, 'name': 'Steven Bergwijn'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 20750, 'name': 'Cody Mathès Gakpo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 2988, 'name': 'Memphis Depay'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d0953e67-5d69-419f-be09-bee28ab28a1a,2,,,,3942382,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,,0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Starting XI,,343.0,"[{'player': {'id': 30310, 'name': 'Fehmi Mert Günok'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12293, 'name': 'Kaan Ayhan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 133305, 'name': 'Samet Akaydin'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 48383, 'name': 'Abdülkerim Bardakcı'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10826, 'name': 'Mert Müldür'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 30438, 'name': 'Ferdi Erenay Kadıoğlu'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 9085, 'name': 'Salih Özcan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 116587, 'name': 'Arda Güler'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 151813, 'name': 'Kenan Yildiz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 134209, 'name': 'Barış Alper Yılmaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]",,,,,,,,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f4d2f4a4-050e-4b04-a3a7-1c54284d00b7,3,,,,3942382,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['8948093a-b31d-499a-825e-ca122b9b4ccc'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8948093a-b31d-499a-825e-ca122b9b4ccc,4,,,,3942382,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands,941,['f4d2f4a4-050e-4b04-a3a7-1c54284d00b7'],0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3c17995c-8b78-475c-bf88-0e1541ab6455,1870,,,,3942382,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,62,Turkey,909,['fd609288-486d-4ad3-98e7-e1c5078d567c'],0,,,,,,,,,,,,,,,,,Turkey,909,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fd609288-486d-4ad3-98e7-e1c5078d567c,1871,,,,3942382,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,62,Turkey,909,['3c17995c-8b78-475c-bf88-0e1541ab6455'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.000,Half Start,,,,,,,,,,,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,1.475015,,,,,,,,,,,,,,002e932e-f406-4d23-b2d9-47f7f7f99534,5,,,"[61.0, 40.1]",3942382,0,,,,,2.8286915,,Right Foot,,,"[37.2, 47.8]",,Ground Pass,,25.014595,,Stefan de Vrij,7787.0,,,,,,Kick Off,1,From Kick Off,Memphis Depay,2988.0,Center Forward,2,Netherlands,941,['619fc11d-6236-488f-aad2-a1bc1620d415'],0,,,,,,,,,,,,,,,,,Netherlands,941,00:00:00.492,Pass,,,,,,,61.0,40.1,37.2,47.8,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,3.144103,,,,,,,,,,,,,,bbd0b489-5969-447f-9638-9e9e672a9e6d,8,,,"[39.5, 48.4]",3942382,0,,,,,-0.65419745,,Right Foot,,,"[94.4, 6.3]",,High Pass,,69.18396,Incomplete,Cody Mathès Gakpo,20750.0,,,True,,,,1,From Kick Off,Stefan de Vrij,7787.0,Right Center Back,2,Netherlands,941,"['30ec8271-40ba-4a3d-8676-99dd4ea912e3', 'a6b7118e-be56-44ad-8376-62c2471193c5']",3,,,,,,,,,,,,,,,,,Netherlands,941,00:00:03.153,Pass,,,,,,,39.5,48.4,94.4,6.3,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,1.745171,,,,,,,,,,,,,,22a8c27c-11cd-45b9-a8d0-1aaa40eb0167,12,,,"[88.0, 0.1]",3942382,0,,,,,0.2570424,,,,,"[105.5, 4.7]",,High Pass,,18.094475,,Memphis Depay,2988.0,,,,,,Throw-in,1,From Throw In,Nathan Aké,3306.0,Left Back,3,Netherlands,941,['37db95dd-95f9-4416-83d1-256681567069'],19,,,,,,,,,,,,,,,,,Netherlands,941,00:00:19.298,Pass,,,,,,,88.0,0.1,105.5,4.7,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.179553,,,,,,,,,,,,,,2cf718aa-452d-49bd-b38f-270cdce127e8,17,,,"[106.1, 4.9]",3942382,0,,,,,2.5948038,,Right Foot,,,"[103.8, 6.3]",,Ground Pass,,2.6925824,Incomplete,Tijjani Reijnders,21582.0,,,,,,,1,From Throw In,Memphis Depay,2988.0,Center Forward,3,Netherlands,941,"['5f8c31c8-f1f6-47fa-a14f-5bc2e80f9b81', '8c177b63-ca66-4215-be90-12d8a690d3cd', 'ee41d4a9-8e9a-4b52-bbc8-8b5167699fe7']",21,,,,,,,,,,,,,,,,,Netherlands,941,00:00:21.487,Pass,True,,,,,,106.1,4.9,103.8,6.3,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,0.918686,,,,,,,,,,,,,,a3e9c700-913c-4154-9bdb-7d0f1f565d63,24,,,"[15.9, 70.4]",3942382,0,,,,,2.7351742,,Right Foot,,,"[8.0, 73.8]",,Ground Pass,,8.600581,,Kaan Ayhan,12293.0,,,,,,,1,From Throw In,Hakan Çalhanoğlu,7039.0,Left Defensive Midfield,3,Netherlands,941,"['3a81632f-5d6f-46ed-bc28-8a5b34d023f4', '7d8d8572-7fdf-4472-9f72-4458887470cc', 'be11d9b3-69fe-4bbe-a668-0f4f03bb8aaf']",23,,,,,,,,,,,,,,,,,Turkey,909,00:00:23.914,Pass,True,,,,,,15.9,70.4,8.0,73.8,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,2.251925,,,,,,,,,,,,,,c7330a98-b2ac-4781-a437-fc14124144f1,27,,,"[9.0, 73.6]",3942382,0,,,,,-0.23425521,,Right Foot,,,"[44.2, 65.2]",,High Pass,,36.188396,Incomplete,Barış Alper Yılmaz,134209.0,,,,,,,1,From Throw In,Kaan Ayhan,12293.0,Right Center Back,3,Netherlands,941,"['8e3117de-1cc0-4f3f-87c0-9feaa7ec14a2', '95f8bb10-9304-4ef2-9464-1762d37f1f36']",25,,,,,,,,,,,,,,,,,Turkey,909,00:00:25.851,Pass,,,,,,,9.0,73.6,44.2,65.2,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,2.008709,,,,,,,,,,,,,,5634f928-5133-4e50-baa1-e9d4dede24d0,30,,,"[71.9, 30.2]",3942382,0,,,,,3.0239124,,Right Foot,,,"[51.6, 32.6]",,Ground Pass,,20.44138,,Stefan de Vrij,7787.0,,,,,,Recovery,1,From Throw In,Jerdy Schouten,15503.0,Right Defensive Midfield,3,Netherlands,941,['e0aa1af1-570c-4c93-a89b-d501c44026ec'],29,,,,,,,,,,,,,,,,,Netherlands,941,00:00:29.482,Pass,,,,,,,71.9,30.2,51.6,32.6,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,1.433211,,,,,,,,,,,,,,1310c836-eb1f-4875-985b-1baa902b2a2c,33,,,"[47.9, 47.1]",3942382,0,,,,,1.2490457,,Right Foot,,,"[55.4, 69.6]",,Ground Pass,,23.717083,,Denzel Dumfries,8125.0,,,,,,,1,From Throw In,Stefan de Vrij,7787.0,Right Center Back,3,Netherlands,941,['c0ec9a08-2cb5-453b-8e8f-33762c1f36e4'],36,,,,,,,,,,,,,,,,,Netherlands,941,00:00:36.310,Pass,,,,,,,47.9,47.1,55.4,69.6,Netherlands vs Turkey,Netherlands,Turkey
,,,,,,,,,,,,,,,,,1.660136,,,,,,,,,,,,,,2b9b9457-5bf4-4dff-b242-1117b6dbb65e,36,,,"[53.4, 69.8]",3942382,0,,,,,-2.201414,,Right Foot,,,"[41.5, 53.5]",,Ground Pass,,20.181675,,Stefan de Vrij,7787.0,,,,,,,1,From Throw In,Denzel Dumfries,8125.0,Right Back,3,Netherlands,941,['5f78ebcd-679a-4ebd-a074-5350065bb859'],39,,,,,,,,,,,,,,,,,Netherlands,941,00:00:39.095,Pass,,,,,,,53.4,69.8,41.5,53.5,Netherlands vs Turkey,Netherlands,Turkey
