50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,045a583b-dcc8-4f00-9524-19f3ce57f667,1,,,,3942752,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Starting XI,,4231.0,"[{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5202, 'name': 'José Ignacio Fernández Iglesias'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 17620, 'name': 'Marc Cucurella Saseta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6765, 'name': 'Rodrigo Hernández Cascante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 316046, 'name': 'Lamine Yamal Nasraoui Ebana'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 68574, 'name': 'Nicholas Williams Arthuer'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]",,,,,,,,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,878f899a-4bc7-4c15-b38b-306464aaa427,2,,,,3942752,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,,0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Starting XI,,433.0,"[{'player': {'id': 3761, 'name': 'Mike Maignan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4445, 'name': 'Jules Koundé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 17592, 'name': 'William Saliba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 6704, 'name': 'Theo Bernard François Hernández'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 10481, 'name': 'Aurélien Djani Tchouaméni'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3961, 'name': ""N'Golo Kanté""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 22097, 'name': 'Randal Kolo Muani'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]",,,,,,,,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bba4f077-46e4-48d8-ad17-ecc3c0a299f4,3,,,,3942752,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['8fcd40dd-0c42-4964-b578-4d6f07953bce'],0,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8fcd40dd-0c42-4964-b578-4d6f07953bce,4,,,,3942752,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain,772,['bba4f077-46e4-48d8-ad17-ecc3c0a299f4'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22758d21-9898-4959-ba6d-ebd71d79e0fb,1558,,,,3942752,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,68,Spain,772,['7b9d4ac8-dc12-4e47-a3fe-a2ccba4bb519'],0,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,,,,,,,,,,,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7b9d4ac8-dc12-4e47-a3fe-a2ccba4bb519,1559,,,,3942752,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,68,Spain,772,['22758d21-9898-4959-ba6d-ebd71d79e0fb'],0,,,,,,,,,,,,,,,,Spain,772,00:00:00.000,Half Start,,,,,,,,,,,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.158161,,,,,,,,,,,,,c3c48b16-a789-40df-9291-9b066195d328,5,,,"[61.0, 40.1]",3942752,0,,,,,2.6351578,,Left Foot,,,"[48.2, 47.2]",,Ground Pass,,14.637281,,,,N'Golo Kanté,3961.0,,,,Kick Off,1,From Kick Off,Adrien Rabiot,3026.0,Left Center Midfield,2,France,771,['98924afe-c502-4d08-9e66-10be2909537f'],0,,,,,,,,,,,,,,,,France,771,00:00:00.467,Pass,,,,,,,61.0,40.1,48.2,47.2,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.66588,,,,,,,,,,,,,647bf9d5-4e57-477c-8af0-82b25338c7d2,8,,,"[50.3, 51.3]",3942752,0,,,,,1.814729,,Left Foot,,,"[44.7, 73.8]",,Ground Pass,,23.186419,,,,Jules Koundé,4445.0,,,,,1,From Kick Off,N'Golo Kanté,3961.0,Right Center Midfield,2,France,771,['c00ba498-4871-4fb6-a7c5-e7c16ce2da47'],2,,,,,,,,,,,,,,,,France,771,00:00:02.539,Pass,,,,,,,50.3,51.3,44.7,73.8,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.12639,,,,,,,,,,,,,41153918-e438-43e1-8587-88e3f7bbe31c,11,,,"[46.1, 73.7]",3942752,0,,,,,-2.481222,,Right Foot,,,"[35.8, 65.7]",,Ground Pass,,13.041856,,,,Dayotchanculle Upamecano,8519.0,,,,,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,['d3a2bb55-bd40-4936-8bd6-d87e9d265c1f'],4,,,,,,,,,,,,,,,,France,771,00:00:04.671,Pass,,,,,,,46.1,73.7,35.8,65.7,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.436434,,,,,,,,,,,,,7530bf6f-8fa3-456b-a0e5-6bca06a23ac1,14,,,"[34.5, 63.8]",3942752,0,,,,,0.6854091,,Right Foot,,,"[51.5, 77.7]",,Ground Pass,,21.95928,,,,Jules Koundé,4445.0,,,,,1,From Kick Off,Dayotchanculle Upamecano,8519.0,Right Center Back,2,France,771,['e2393f29-f416-4cb1-8e00-9b7da0a0362d'],8,,,,,,,,,,,,,,,,France,771,00:00:08.594,Pass,,,,,,,34.5,63.8,51.5,77.7,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.251871,,,,,,,,,,,,,50e5f61f-3a8d-45e2-8423-6419885eb5ac,18,,,"[52.6, 77.7]",3942752,0,,,,,0.044218946,,Right Foot,,,"[63.9, 78.2]",,Ground Pass,,11.311056,,,,Ousmane Dembélé,5477.0,,,,,1,From Kick Off,Jules Koundé,4445.0,Right Back,2,France,771,"['9c6f870b-1b20-480c-990d-993f051ac5fe', 'dcfdfc63-df95-4560-a457-395d01ce1bce']",10,,,,,,,,,,,,,,,,France,771,00:00:10.811,Pass,True,,,,,,52.6,77.7,63.9,78.2,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.59594,,,,,,,,,,,,,89019ecb-9e84-4c13-b2d5-9edfc7794d50,27,,,"[69.3, 12.4]",3942752,0,,,,,-2.9010584,,Right Foot,,,"[64.0, 11.1]",,Ground Pass,,5.4571056,,,,Daniel Olmo Carvajal,16532.0,,,,,1,Regular Play,Álvaro Borja Morata Martín,3477.0,Center Forward,3,Spain,772,['a3ffbfee-e9d3-469a-bab2-810781de5d78'],16,,,,,,,,,,,,,,,,Spain,772,00:00:16.683,Pass,,,,,,,69.3,12.4,64.0,11.1,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.135717,,,,,,,,,,,,,6bba029e-c106-4eed-91f1-551b1690cd8b,30,,,"[64.2, 12.0]",3942752,0,,,,,1.5655332,,Left Foot,,,"[64.3, 31.0]",,Ground Pass,,19.000263,,,,Rodrigo Hernández Cascante,6765.0,,,,,1,Regular Play,Daniel Olmo Carvajal,16532.0,Center Attacking Midfield,3,Spain,772,['efcb8091-f71b-46da-8905-5cb218ce661e'],17,,,,,,,,,,,,,,,,Spain,772,00:00:17.718,Pass,,,,,,,64.2,12.0,64.3,31.0,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.645778,,,,,,,,,,,,,3ef427a0-16de-4222-9c3f-d98be74b8924,36,,,"[60.0, 49.1]",3942752,0,,,,,-2.778667,,Right Foot,,,"[44.2, 43.1]",,Ground Pass,,16.900888,,,,Aurélien Djani Tchouaméni,10481.0,,,,Recovery,1,Regular Play,Randal Kolo Muani,22097.0,Center Forward,4,France,771,['9dbd3a17-cdaf-4639-9578-fcc75e5e62d6'],20,,,,,,,,,,,,,,,,France,771,00:00:20.290,Pass,,,,,,,60.0,49.1,44.2,43.1,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,0.692295,,,,,,,,,,,,,a123a050-db8d-4fc6-9821-6f69e08dd8b0,39,,,"[43.1, 43.2]",3942752,0,,,,,0.043450896,,Right Foot,,,"[50.0, 43.5]",,Ground Pass,,6.9065185,,,,Adrien Rabiot,3026.0,,,,,1,Regular Play,Aurélien Djani Tchouaméni,10481.0,Center Defensive Midfield,4,France,771,"['7271e24a-ae2b-447c-bd05-2199329508e5', '80c9a434-cda8-44b2-b287-ecc63b2af3b8']",21,,,,,,,,,,,,,,,,France,771,00:00:21.936,Pass,True,,,,,,43.1,43.2,50.0,43.5,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,1.587869,,,,,,,,,,,,,1a4d6394-d1e2-43a9-b316-48ba07672fb1,41,,,"[50.0, 43.5]",3942752,0,,,,,-2.3690143,,Left Foot,,,"[34.2, 28.1]",,Ground Pass,,22.063545,,,,William Saliba,17592.0,,,,,1,Regular Play,Adrien Rabiot,3026.0,Left Center Midfield,4,France,771,['acceb593-24f0-4862-8b9c-894925999ddf'],22,,,,,,,,,,,,,,,,France,771,00:00:22.628,Pass,,,,,,,50.0,43.5,34.2,28.1,Spain vs France,Spain,France
,,,,,,,,,,,,,,,,,2.392309,,,,,,,,,,,,,bdd02239-9291-47d2-bfd2-45da32307572,44,,,"[34.2, 28.1]",3942752,0,,,,,2.506876,,Right Foot,,,"[12.2, 44.3]",,Ground Pass,,27.321054,,,,Mike Maignan,3761.0,,,,,1,Regular Play,William Saliba,17592.0,Left Center Back,4,France,771,['c22238c2-42b9-423d-b18c-fdf2560900e1'],25,,,,,,,,,,,,,,,,France,771,00:00:25.130,Pass,,,,,,,34.2,28.1,12.2,44.3,Spain vs France,Spain,France
